dish_id,slope,r,p_value,n
tandoori_chicken,0.026288776459790816,0.052511900115418626,0.24116827941129623,500
tapas,0.012270564313044435,0.03306728181648985,0.4606615047256568,500
tempura,-0.01537381669069329,-0.029470106048105384,0.510881912872398,500
teriyaki,0.006127451906575864,0.00993733071738127,0.824582627459907,500
thai_iced_tea,-0.0070871014846264554,-0.013914629193698336,0.7562743990035414,500
tikka_masala,0.008494553431884318,0.015256743295176069,0.7336177417435964,500
tiramisu,0.02542679521996226,0.06526811443021922,0.14502231937809762,500
tom_kha,-0.02386413364073083,-0.04996465590831177,0.26478874164206057,500
tom_yum,-0.0126354460024402,-0.02418678454964545,0.5895017218227399,500
tteokbokki,0.014601910966559608,0.02761185912252301,0.5378997553183773,500
udon,-0.02144330835791402,-0.03992836150162543,0.37295814185213494,500
vindaloo,0.014654661441890508,0.034413384120647664,0.44260118937162984,500
waffle,0.006362099919274525,0.012042307206143934,0.7882298513265524,500
wonton_soup,-0.035591862616194715,-0.057738328425843456,0.1974285685991475,500
xiao_long_bao,0.07411930261465295,0.12630605789764207,0.004675845509219489,500
yakitori,-0.02275880660785061,-0.043476941028813366,0.3319470456216642,500
