dish_id,rank_original,rank_mc_mean,rank_mc_median,rank_mc_p5,rank_mc_p95,rank_mc_p25,rank_mc_p75,rank_90CI_width,rank_IQR,p_top_tercile,p_bottom_tercile,p_top10,p_bottom10
dim_sum,40.0,41.7687,40.0,26.0,65.0,33.0,49.0,39.0,16.0,0.821,0.0004,0.0,0.0
scallion_pancake,38.0,42.9757,41.0,26.0,68.0,33.0,51.0,42.0,18.0,0.7805,0.0003,0.0,0.0
dal,44.0,43.5247,42.0,27.0,65.0,35.0,51.0,38.0,16.0,0.79,0.0,0.0,0.0
takoyaki,39.0,44.2381,42.0,26.0,69.0,34.0,52.0,43.0,18.0,0.7562,0.0004,0.0,0.0
tteokbokki,43.0,43.8512,42.0,27.0,66.0,35.0,51.0,39.0,16.0,0.7801,0.0001,0.0,0.0
tom_yum,42.0,45.1748,42.0,26.0,74.0,33.0,54.0,48.0,21.0,0.7239,0.0033,0.0,0.0
sundubu_jjigae,46.0,48.7517,48.0,31.0,70.0,40.0,56.0,39.0,16.0,0.65,0.0001,0.0,0.0
dosa,47.0,51.1192,50.0,31.0,77.0,41.0,60.0,46.0,19.0,0.58,0.0019,0.0,0.0
crepe,48.0,51.4454,50.0,32.0,76.0,41.0,60.0,44.0,19.0,0.5735,0.0006,0.0,0.0
dan_dan_noodles,50.0,52.3572,51.0,33.0,76.0,43.0,61.0,43.0,18.0,0.5408,0.0008,0.0,0.0
chana_masala,54.0,54.0226,53.0,34.0,77.0,44.0,62.0,43.0,18.0,0.4844,0.001,0.0,0.0
pozole,53.0,55.4582,53.0,31.0,88.0,42.0,66.0,57.0,24.0,0.4788,0.0122,0.0,0.0
pancake,49.0,54.0521,53.0,34.0,79.0,44.0,63.0,45.0,19.0,0.4918,0.002,0.0,0.0
waffle,52.0,54.9731,54.0,35.0,79.0,45.0,64.0,44.0,19.0,0.4591,0.0017,0.0,0.0
elote,51.0,56.3189,55.0,33.0,86.0,45.0,66.0,53.0,21.0,0.4427,0.0051,0.0,0.0
risotto,56.0,55.483,55.0,36.0,78.0,47.0,63.0,42.0,16.0,0.4324,0.0006,0.0,0.0
tom_kha,58.0,56.7745,56.0,36.0,80.0,47.0,65.0,44.0,18.0,0.3972,0.0017,0.0,0.0
wonton_soup,55.0,57.0107,56.0,34.0,85.0,46.0,67.0,51.0,21.0,0.4153,0.0057,0.0,0.0
kimchi_jjigae,57.0,56.766,56.0,34.0,84.0,46.0,66.0,50.0,20.0,0.419,0.0048,0.0,0.0
grilled_cheese,59.0,60.2639,59.0,37.0,88.0,49.0,70.0,51.0,21.0,0.3255,0.0058,0.0,0.0
ravioli,61.0,60.4205,59.0,39.0,85.0,51.0,69.0,46.0,18.0,0.2944,0.0028,0.0,0.0
tapas,60.0,60.7656,60.0,39.0,86.0,51.0,70.0,47.0,19.0,0.2963,0.0045,0.0,0.0
okonomiyaki,62.0,62.7863,62.0,40.0,90.0,52.0,72.0,50.0,20.0,0.2634,0.0095,0.0,0.0
lobster_roll,63.0,65.5282,63.0,37.0,105.0,51.0,77.0,68.0,26.0,0.2821,0.0504,0.0,0.0
ramen,64.0,64.7995,64.0,41.0,92.0,54.0,74.0,51.0,20.0,0.2165,0.0113,0.0,0.0
palak_paneer,66.0,66.6649,65.0,41.0,96.0,55.0,77.0,55.0,22.0,0.2052,0.0213,0.0,0.0
clam_chowder,65.0,67.4693,66.0,42.0,99.0,55.0,78.0,57.0,23.0,0.2004,0.0303,0.0,0.0
pasta_carbonara,67.0,67.5966,67.0,45.0,93.0,57.0,77.0,48.0,20.0,0.1473,0.0124,0.0,0.0
lo_mein,69.0,73.3089,72.0,49.0,100.0,62.0,83.0,51.0,21.0,0.0789,0.0314,0.0,0.0
fried_rice,72.0,75.2363,74.0,51.0,102.0,64.0,86.0,51.0,22.0,0.0651,0.0383,0.0,0.0
mapo_tofu,73.0,76.3406,75.0,52.0,103.0,65.0,87.0,51.0,22.0,0.0538,0.0419,0.0,0.0
larb,74.0,77.0772,75.0,45.0,113.0,63.0,90.25,68.0,27.25,0.1106,0.103,0.0,0.0
naan,68.0,76.7641,75.0,46.0,113.0,62.0,90.0,67.0,28.0,0.1096,0.1015,0.0,0.0
vindaloo,79.0,78.2646,76.0,44.0,119.0,61.0,94.0,75.0,33.0,0.1264,0.1434,0.0,0.0002
bruschetta,70.0,78.3323,77.0,48.0,114.0,64.0,92.0,66.0,28.0,0.0899,0.11,0.0,0.0001
baba_ganoush,71.0,79.112,78.0,49.950000000000045,113.0,65.0,92.0,63.049999999999955,27.0,0.0749,0.1094,0.0,0.0001
chow_mein,78.0,80.1184,79.0,55.0,109.0,68.0,91.0,54.0,23.0,0.0342,0.0756,0.0,0.0
tikka_masala,80.0,81.0585,80.0,55.0,111.0,69.0,92.0,56.0,23.0,0.0354,0.0968,0.0,0.0
yakitori,77.0,81.6304,81.0,53.0,113.0,69.0,94.0,60.0,25.0,0.043,0.1142,0.0,0.0
butter_chicken,83.0,81.864,81.0,55.0,111.0,70.0,93.0,56.0,23.0,0.0313,0.0988,0.0,0.0
pita,75.0,82.6424,81.0,51.0,118.0,68.0,97.0,67.0,29.0,0.0581,0.1491,0.0,0.0
korma,86.0,84.2158,83.0,57.0,114.0,72.0,96.0,57.0,24.0,0.0216,0.128,0.0,0.0001
escargot,76.0,84.2962,83.0,53.0,118.0,70.0,98.0,65.0,28.0,0.0448,0.1627,0.0,0.0001
quesadilla,82.0,83.6603,83.0,57.0,113.0,72.0,95.0,56.0,23.0,0.0241,0.1174,0.0,0.0
satay,81.0,84.8479,85.0,58.0,114.0,73.0,97.0,56.0,24.0,0.023,0.1321,0.0,0.0
chicken_sandwich,85.0,87.5546,87.0,59.0,117.0,75.0,100.0,58.0,25.0,0.0184,0.176,0.0,0.0
green_curry,93.0,88.5725,88.0,63.0,115.0,77.0,100.0,52.0,23.0,0.0089,0.1669,0.0,0.0
pad_see_ew,88.0,87.5667,88.0,62.0,113.0,77.0,98.0,51.0,21.0,0.0091,0.1377,0.0,0.0
fajita,89.0,89.3874,89.0,61.0,119.0,77.0,102.0,58.0,25.0,0.0133,0.2048,0.0,0.0
pad_thai,91.0,90.4233,90.0,64.0,118.0,79.0,102.0,54.0,23.0,0.0061,0.2024,0.0,0.0
red_curry,95.0,90.1889,90.0,65.0,116.0,79.0,101.0,51.0,22.0,0.0059,0.1921,0.0,0.0
cornbread,84.0,90.397,90.0,60.0,122.0,77.0,104.0,62.0,27.0,0.0151,0.2373,0.0,0.0001
paella,94.0,91.1376,91.0,66.0,116.0,80.0,102.0,50.0,22.0,0.0031,0.1987,0.0,0.0
croissant,87.0,92.2191,92.0,63.0,123.0,79.0,105.0,60.0,26.0,0.0115,0.2627,0.0,0.0
banh_mi,92.0,94.5106,94.0,64.0,125.0,81.0,108.0,61.0,27.0,0.0104,0.3106,0.0,0.0001
kung_pao_chicken,97.0,94.174,94.0,65.95000000000005,123.0,82.0,107.0,57.049999999999955,25.0,0.0054,0.2912,0.0,0.0
samosa,90.0,95.2059,95.0,60.0,130.0,80.0,111.0,70.0,31.0,0.0191,0.347,0.0,0.0004
bun_cha,96.0,96.1563,96.0,67.0,125.0,84.0,109.0,58.0,25.0,0.0042,0.3305,0.0,0.0002
samgyeopsal,101.0,97.9484,98.0,63.0,133.0,83.0,113.0,70.0,30.0,0.0143,0.388,0.0,0.0022
donburi,103.0,97.4718,98.0,71.0,123.0,86.0,109.0,52.0,23.0,0.0012,0.3434,0.0,0.0
japchae,105.0,98.6064,99.0,62.0,136.0,82.0,115.0,74.0,33.0,0.0147,0.4083,0.0,0.003
french_onion_soup,108.0,99.4682,99.0,66.0,134.0,85.0,114.0,68.0,29.0,0.0064,0.4092,0.0,0.0027
spanakopita,98.0,99.4048,100.0,71.0,127.0,87.0,112.0,56.0,25.0,0.0025,0.3962,0.0,0.0002
baklava,100.0,100.3277,100.5,73.0,127.0,89.0,112.0,54.0,23.0,0.0011,0.4101,0.0,0.0003
creme_brulee,102.0,101.997,103.0,72.0,129.0,90.0,115.0,57.0,25.0,0.0021,0.4639,0.0,0.0002
tandoori_chicken,107.0,102.2109,103.0,72.0,130.0,90.0,115.0,58.0,25.0,0.0017,0.4628,0.0,0.0003
french_fries,99.0,102.318,103.0,66.0,137.0,86.0,119.0,71.0,33.0,0.0106,0.4792,0.0,0.0049
paneer_tikka,110.0,103.801,104.0,72.0,133.0,91.0,118.0,61.0,27.0,0.0028,0.4946,0.0,0.0006
burrito,111.0,105.3191,106.0,81.0,128.0,96.0,115.0,47.0,19.0,0.0001,0.5403,0.0,0.0001
patatas_bravas,104.0,104.8614,106.0,72.0,135.0,91.75,119.0,63.0,27.25,0.003,0.5227,0.0,0.0018
nachos,106.0,105.4142,106.0,76.0,132.0,94.0,118.0,56.0,24.0,0.0005,0.5393,0.0,0.0006
souffle,109.0,106.8414,108.0,80.0,132.0,96.0,119.0,52.0,23.0,0.0003,0.5758,0.0,0.0006
com_tam,114.0,109.6095,111.0,81.0,134.0,99.0,121.0,53.0,22.0,0.0002,0.6413,0.0,0.0008
pizza_margherita,112.0,109.7365,111.0,81.0,135.0,99.0,121.0,54.0,22.0,0.0002,0.6409,0.0,0.0011
shawarma,115.0,111.4238,113.0,82.0,136.0,101.0,124.0,54.0,23.0,0.0001,0.6828,0.0,0.0012
teriyaki,119.0,111.6612,113.0,84.0,135.0,102.0,123.0,51.0,21.0,0.0002,0.6958,0.0,0.0004
falafel,113.0,112.4753,114.0,83.0,138.0,101.0,125.0,55.0,24.0,0.0004,0.6957,0.0,0.0033
mac_and_cheese,117.0,114.0872,115.0,87.0,137.0,104.0,125.0,50.0,21.0,0.0,0.7412,0.0,0.0016
enchilada,118.0,114.3721,116.0,87.0,137.0,105.0,125.0,50.0,20.0,0.0002,0.7526,0.0,0.0009
spring_rolls,116.0,114.5284,116.0,83.0,141.0,103.0,128.0,58.0,25.0,0.0007,0.7252,0.0,0.0049
churro,120.0,117.0469,118.0,90.0,140.0,107.0,128.0,50.0,21.0,0.0001,0.7931,0.0,0.004
churros_spanish,121.0,117.8141,119.0,90.0,141.0,108.0,129.0,51.0,21.0,0.0001,0.81,0.0,0.0057
char_siu,122.0,119.0218,121.0,87.0,144.0,108.0,132.0,57.0,24.0,0.0,0.8032,0.0,0.0129
pizza,123.0,121.0677,122.0,95.0,142.0,113.0,131.0,47.0,18.0,0.0,0.876,0.0,0.0059
chile_relleno,124.0,122.9878,124.0,96.0,145.0,114.0,134.0,49.0,20.0,0.0,0.8856,0.0,0.0168
quiche,127.0,124.7565,126.0,103.0,142.0,117.0,133.0,39.0,16.0,0.0,0.9421,0.0,0.0031
fish_and_chips,126.0,125.2101,127.0,99.0,146.0,116.0,136.0,47.0,20.0,0.0,0.9102,0.0,0.0218
brownie,129.0,125.541,127.0,103.0,144.0,118.0,135.0,41.0,17.0,0.0,0.9349,0.0,0.0082
biryani,128.0,125.3612,127.0,103.0,143.0,118.0,134.0,40.0,16.0,0.0,0.94,0.0,0.0076
tempura,125.0,124.645,127.0,97.0,146.0,115.0,136.0,49.0,21.0,0.0,0.8948,0.0,0.0203
chow_fun,131.0,124.4339,127.0,92.0,149.0,113.0,138.0,57.0,25.0,0.0001,0.8603,0.0,0.052
pasta_bolognese,133.0,126.1851,130.0,89.0,151.0,114.0,142.0,62.0,28.0,0.0002,0.8531,0.0,0.1021
peking_duck,130.0,127.8104,130.0,103.0,146.0,120.0,138.0,43.0,18.0,0.0,0.9385,0.0,0.0225
pho,137.0,128.7384,132.0,93.0,152.0,118.0,143.0,59.0,25.0,0.0002,0.8811,0.0,0.1227
bibimbap,139.0,132.1885,135.0,105.0,150.0,124.0,143.0,45.0,19.0,0.0,0.9536,0.0,0.0892
katsu,132.0,134.082,136.0,111.0,150.0,127.0,143.0,39.0,16.0,0.0,0.9766,0.0,0.076
gyro,136.0,133.6835,136.0,107.0,151.0,126.0,144.0,44.0,18.0,0.0,0.9611,0.0,0.1189
general_tso,135.0,135.702,137.0,116.0,150.0,130.0,143.0,34.0,13.0,0.0,0.9912,0.0,0.0735
kebab,144.0,133.2204,137.0,101.0,153.0,124.0,146.0,52.0,22.0,0.0,0.9364,0.0,0.1639
fried_chicken,134.0,135.4016,137.0,115.0,149.0,129.0,143.0,34.0,14.0,0.0,0.9889,0.0,0.0704
taco,145.0,134.0213,137.0,104.0,152.0,126.0,146.0,48.0,20.0,0.0,0.9482,0.0,0.159
cheesecake,140.0,135.8519,138.0,117.0,149.0,130.0,143.0,32.0,13.0,0.0,0.9933,0.0,0.0584
orange_chicken,142.0,137.5829,139.0,119.0,150.0,132.0,145.0,31.0,13.0,0.0,0.9956,0.0,0.1029
buffalo_wings,138.0,136.8003,139.0,118.0,150.0,131.0,144.0,32.0,13.0,0.0,0.993,0.0,0.0931
bun_bo_hue,147.0,135.3117,139.0,106.0,153.0,127.0,147.0,47.0,20.0,0.0001,0.956,0.0,0.1883
sweet_and_sour,141.0,137.4724,139.0,117.0,151.0,132.0,145.0,34.0,13.0,0.0,0.9916,0.0,0.1266
pulled_pork,143.0,138.8625,141.0,117.0,152.0,133.0,147.0,35.0,14.0,0.0,0.9913,0.0,0.1778
coq_au_vin,146.0,140.5612,142.0,123.0,152.0,136.0,147.0,29.0,11.0,0.0,0.9978,0.0,0.1781
korean_fried_chicken,148.0,141.9791,144.0,126.0,152.0,138.0,148.0,26.0,10.0,0.0,0.9986,0.0,0.2181
moussaka,149.0,146.005,148.0,131.0,155.0,143.0,151.0,24.0,8.0,0.0,0.9993,0.0,0.4596
massaman_curry,151.0,145.5977,149.0,125.0,156.0,142.0,153.0,31.0,11.0,0.0,0.9938,0.0,0.5089
hamburger,152.0,147.9292,150.0,130.0,156.0,145.0,154.0,26.0,9.0,0.0,0.9975,0.0,0.6148
ribs,150.0,149.8964,151.0,140.0,155.0,148.0,153.0,15.0,5.0,0.0,0.9998,0.0,0.7258
bulgogi,154.0,149.5856,152.0,133.0,157.0,147.0,155.0,24.0,8.0,0.0,0.9975,0.0,0.7063
lasagna,153.0,150.8535,152.0,142.0,156.0,149.0,154.0,14.0,5.0,0.0,1.0,0.0,0.7782
beef_bourguignon,155.0,154.738,155.0,150.0,158.0,154.0,157.0,8.0,3.0,0.0,1.0,0.0,0.9673
steak,156.0,154.1291,155.0,146.0,158.0,153.0,157.0,12.0,4.0,0.0,0.9999,0.0,0.9174
osso_buco,157.0,156.1106,157.0,152.0,158.0,155.0,158.0,6.0,3.0,0.0,1.0,0.0,0.9911
brisket,158.0,156.6729,157.0,154.0,158.0,156.0,158.0,4.0,2.0,0.0,1.0,0.0,0.9977
