dish_id,cuisine,H_mean,E_composite,is_pareto
croissant,French,7.299,0.2528773599570321,True
escargot,French,7.185,0.22905787543792,False
french_onion_soup,French,7.065,0.2794902450794066,False
quiche,French,7.306,0.3547504593313247,False
ratatouille,French,7.242,0.1346233349410699,True
souffle,French,7.419,0.2974611158696626,True
biryani,Indian,6.789,0.3345396378994281,False
butter_chicken,Indian,7.297,0.2453824918883798,False
chana_masala,Indian,7.131,0.1795333304373007,True
dal,Indian,6.929,0.1513163041255206,True
dosa,Indian,6.872,0.1613769949862088,False
korma,Indian,7.243,0.2480675328093393,False
naan,Indian,7.203,0.2138116130018896,False
palak_paneer,Indian,7.231,0.2075051881169707,True
paneer_tikka,Indian,7.1,0.2850173554547919,False
raita,Indian,6.859,0.0280594219823921,True
samosa,Indian,7.343,0.2564875522755967,True
tandoori_chicken,Indian,7.061,0.2790571517430138,False
tikka_masala,Indian,7.079,0.2352417448800396,False
vindaloo,Indian,7.325,0.2360593776690798,True
bruschetta,Italian,7.304,0.2200736836601747,False
caprese,Italian,7.136,0.1118488797934876,False
gelato,Italian,7.564,0.0648149325917145,True
gnocchi,Italian,7.211,0.1493656341086219,False
lasagna,Italian,6.885,0.5943961798471784,False
minestrone,Italian,6.638,0.1196048159520431,False
osso_buco,Italian,7.166,0.934,False
panna_cotta,Italian,7.57,0.0769170517835727,True
pasta_bolognese,Italian,7.058,0.3871269799507092,False
pasta_carbonara,Italian,7.116,0.20538029673412,False
penne_arrabbiata,Italian,7.216,0.1413938119152791,False
pizza,Italian,6.838,0.3198078040607087,False
pizza_margherita,Italian,7.126,0.2942943620278918,False
ravioli,Italian,7.222,0.1935701450266944,False
risotto,Italian,7.082,0.1798937436216193,False
tiramisu,Italian,7.448,0.1078809838214075,False
donburi,Japanese,6.081,0.2347841626076021,False
edamame,Japanese,7.174,0.122958281541028,True
katsu,Japanese,6.973,0.3813776644673086,False
miso_soup,Japanese,6.965,0.1090529409366971,False
okonomiyaki,Japanese,7.216,0.1942506282035568,True
onigiri,Japanese,7.085,0.0556931760085771,True
ramen,Japanese,6.942,0.1942964691225439,False
sashimi,Japanese,7.112,0.0629854347994419,True
sushi,Japanese,6.974,0.0640243446175479,False
takoyaki,Japanese,7.144,0.1512882831212846,False
tempura,Japanese,6.976,0.3320592974999239,False
teriyaki,Japanese,6.712,0.2907920050126571,False
udon,Japanese,6.941,0.1444559831100882,False
yakitori,Japanese,6.842,0.2192980503856408,False
bibimbap,Korean,7.176,0.4103771234250521,False
bulgogi,Korean,7.375,0.6615588732726678,True
japchae,Korean,7.318,0.2850385521038225,True
kimbap,Korean,7.307,0.1364470620417334,True
kimchi,Korean,7.178,0.0107893163244967,True
kimchi_jjigae,Korean,6.817,0.1738305685587496,False
korean_fried_chicken,Korean,6.228,0.3907836556182036,False
samgyeopsal,Korean,7.223,0.274564609930532,False
sundubu_jjigae,Korean,7.119,0.1660415503417002,False
tteokbokki,Korean,6.906,0.1505269670921717,False
baba_ganoush,Mediterranean,7.495,0.2283327510889237,True
baklava,Mediterranean,7.48,0.28131109410514,False
dolma,Mediterranean,7.407,0.1463439103506557,True
falafel,Mediterranean,7.341,0.3067878357769481,False
gyro,Mediterranean,7.158,0.4052126119464612,False
hummus,Mediterranean,7.347,0.0956000970923752,False
kebab,Mediterranean,7.286,0.4289247527784806,False
moussaka,Mediterranean,7.124,0.5167985075858745,False
pita,Mediterranean,7.042,0.2214726334827755,False
shawarma,Mediterranean,7.158,0.3031312637237955,False
spanakopita,Mediterranean,7.365,0.2741309781639822,False
tabbouleh,Mediterranean,7.356,0.0422978507033765,True
burrito,Mexican,6.827,0.276301431930006,False
ceviche,Mexican,7.301,0.039418546557507,True
chile_relleno,Mexican,6.786,0.3181617528849141,False
churro,Mexican,7.396,0.3234748223106578,True
elote,Mexican,7.372,0.1805572994317562,True
enchilada,Mexican,6.83,0.2953211986902908,False
fajita,Mexican,6.671,0.2319769200463485,False
guacamole,Mexican,6.93,0.0347126588909858,True
nachos,Mexican,6.823,0.2693445432591771,False
pozole,Mexican,7.237,0.1813985581478384,False
quesadilla,Mexican,6.777,0.2259953170821839,False
taco,Mexican,7.05,0.418539769036379,False
tamale,Mexican,7.247,0.1372645889738489,False
brownie,Other,7.362,0.3645830754384144,True
caesar_salad,Other,6.747,0.0525168062162769,True
cheesecake,Other,7.268,0.4162269009143125,False
chicken_salad,Other,6.953,0.0681619356522414,True
fish_and_chips,Other,6.801,0.3253698736066217,False
ice_cream,Other,7.338,0.0838113240686453,True
soup,Other,6.733,0.1268497208512982,False
churros_spanish,Spanish,7.323,0.3234748223106578,False
gazpacho,Spanish,7.436,0.0402863263051759,True
paella,Spanish,7.111,0.2576096497632017,False
patatas_bravas,Spanish,7.31,0.2824044679241891,False
tapas,Spanish,7.397,0.1942673219562087,False
green_curry,Thai,7.287,0.2611478475643975,False
larb,Thai,7.071,0.2198598697019789,False
mango_sticky_rice,Thai,7.382,0.1575942646055001,True
massaman_curry,Thai,7.313,0.5748645506702768,False
pad_see_ew,Thai,6.887,0.2391870645940731,False
pad_thai,Thai,6.777,0.2390955383002528,False
papaya_salad,Thai,7.193,0.0108332800613693,True
red_curry,Thai,7.176,0.2608840882697989,False
satay,Thai,7.066,0.2351079257839079,False
thai_iced_tea,Thai,7.216,0.0243759548418201,True
tom_kha,Thai,7.207,0.1858816088936304,False
tom_yum,Thai,7.086,0.1541886022669634,False
banh_mi,Vietnamese,7.249,0.2565416685710571,False
bun_bo_hue,Vietnamese,6.883,0.4268114422342925,False
bun_cha,Vietnamese,7.232,0.2664993860833531,False
ca_phe_sua_da,Vietnamese,7.43,0.0363340634140795,True
com_tam,Vietnamese,6.941,0.2925279261245002,False
fresh_spring_roll,Vietnamese,7.119,0.0531295222848464,False
pho,Vietnamese,6.974,0.395002904915845,False
