dish_id,family
rojak,
roti_caribbean,
saganaki,
salt_pepper_squid,
samgyeopsal,Pork
samosa,Wrapped/Dumpling
sancocho,
sardines_grilled,
sashimi,Seafood
satay,
satay_indonesian,Kebab/Grilled
scallion_pancake,
schnitzel,
sfeeha,
shakshuka,Egg Dish
shashlik,
shawarma,
simit,Bread/Pastry
sinigang,
sisig,
som_tam,Salad/Cold
sopes,
souffle,
soup,
souvlaki,Kebab/Grilled
spaetzle,
spanakopita,
spring_rolls,Wrapped/Dumpling
steak,Beef
stroganoff,
sundubu_jjigae,
sushi,Seafood
suya,
sweet_and_sour,
tabbouleh,Salad/Cold
taco,
tagine,
tahdig,
takoyaki,
tamagoyaki,Egg Dish
tamale,
tandoori_chicken,Chicken
tapas,
tempura,Seafood
teriyaki,Chicken
thai_iced_tea,
tikka_masala,Curry
tiramisu,Dessert
tiropita,
tom_kha,
tom_yum,Soup
tonkotsu_ramen,Noodle/Pasta
tortilla_espanola,Egg Dish
tostones,
tteokbokki,
tzatziki,
udon,
uttapam,
vindaloo,
waffle,
warak_enab,
wonton_noodle,Noodle/Pasta
wonton_soup,
xiao_long_bao,
yakitori,
