dish_id,name,primary_cuisine,primary_coarse,description
jhalmuri,Jhalmuri,Bangladeshi,rice,"The dish is a popular street snack, made of puffed rice and an assortment of Indian spices, Vegetable, Bombay mix and mustard oil.."
kabuli_pulao,Kabuli pulao,Afghan,rice,"The dish core ingredients are steamed rice mixed with caramelized carrots and dry raisins as well as marinated lamb meat. Qabeli palaw is commonly garnished with almonds and pistachios. Saffron may be added to either the rice, the sauce or the garnishes."
ketupat,Ketupat,Indonesian,rice,The dish packed inside a diamond-shaped container of woven palm leaf pouch. It  is cut open until its skin (woven palm leaf) is totally removed. The inner rice cake is then cut into pieces and served as a staple food in place of plain steamed rice.
khao_lam,Khao lam,Thai,rice,The dish consists of sticky rice roasted inside specially prepared bamboo sections of different diameters and lengths.
kongbap,Kongbap,Korean,rice,The dish consists of white or brown rice cooked together with one or more varieties of soybeans. It may be made from scratch by combining and cooking together dried rice and soybeans—usually black soybeans.
madumongso,Madumongso,Javanese,rice,The dish is a snack made from black sticky rice as the main ingredient. The sweet flavour is a result of fermenting black sticky rice into tapai and then it is cooked to become dodol.
tapai,Tapai,South East Asian,rice,"The dish is a traditional fermented preparation of rice or other starchy foods. It has a sweet or sour taste[1] and can be eaten as is, as ingredients for traditional recipes, or fermented further to make rice wine."
jaynagarer_moa,Jaynagarer Moa,Indian,sweets,The dish is made from date palm jaggery and aromatic rice.
mochi_ice_cream,Mochi ice cream,American,dessert,The dish is made from pounded sticky rice with an ice cream filling.
moffle,Moffle,Japanese,dessert,"The dish consisting of mochi rice cake cooked in a waffle iron, which creates a waffle."
nasi_bogana,Nasi bogana,Indonesian,rice,"The dish is rice wrapped in banana leaves and served with a variety of side dishes. It is a type of mixed rice, which features rice accompanied by multiple side dishes."
nasi_jinggo,Nasi jinggo,Indonesian,rice,The dish consists of rice packaged in small portions of banana leaves.
nasi_kandar,Nasi kandar,Malaysian,rice,"The dish consists of steamed rice combined with an array of distinct curries, sides dishes, and gravies. The selection of curries consists of various blends of Vegetable, seafood or meat."
nasi_kapau,Nasi kapau,Indonesian,rice,The dish is a steamed rice topped with various choices of dishes.
nasi_timbel,Nasi timbel,Indonesian,rice,The dish consisting of steamed rice wrapped inside a banana leaf.The heat of the hot-cooked rice touches the banana leaf and produces a unique aroma.
nasi_tutug_oncom,Nasi tutug oncom,Indonesian,rice,The dish is made of rice mixed with oncom fermented beans. It is usually wrapped in banana leaves and served with various side dishes.
nurungji,Nurungji,Korean,rice,"The dish is made of scorched rice. After boiling and serving rice, a thin crust of scorched rice will usually be left in the bottom of the cooking pot. "
ofada_rice,Ofada rice,Yoruba,rice,The dish is a type of rice. It is used in making a variety of dishes.
okowa,Okowa,Japanese,rice,The is a steamed rice dish made with glutinous rice mixed with meat or Vegetable.
orez_shuit,Orez Shu'it,Israeli,rice,"The dish consisting of white beans cooked in a tomato paste, served on white rice."
pabelln_criollo,Pabellón criollo,Venezuelan,rice,"It is a plate of rice, shredded beef in stew and stewed black beans."
pinipig,Pinipig,Filipino,dessert,"The dish is a flattened rice ingredient. It is made of immature grains of glutinous rice pounded until flat before being toasted. It is commonly used as toppings for various desserts, but can also be eaten plain, made into cakes, or mixed with drinks and other dishes."
pus,Pusô,Filipino,rice,"The dish is a rice cake made by boiling rice in a woven pouch of palm leaves. It is most commonly found in octahedral, diamond, or rectangular shapes, but it can also come in various other intricately woven complex forms."
puto_bumbong,Puto bumbong,Filipino,dessert,The dish is a purple rice cake steamed in bamboo tubes.
rice_and_gravy,Rice and gravy,American,rice,"The dish is made by deglazing a pan to make brown gravy, simmering with extra seasonings, and serving over steamed or boiled rice."
rice_krispies,Rice Krispies,Global,cereal,"The dish is a breakfast cereal made of crisped rice. When milk is added to the cereal the rice tends to collapse, creating the characteristic ""snap"", ""crackle and pop"" sounds."
sel_roti,Sel roti,Nepalese,bread,The dish is a ring-shaped sweet fried dough made from rice flour.
shirin_polo,Shirin polo,Iranian,rice,"The dish is typically served at celebrations such as weddings, birthdays, and holidays. It is steamed rice topped with nuts and dried fruits such as barberries, apricots, and dates."
thalassery_biryani,Thalassery biryani,Indian,rice,The dish is a rice-based dish blended with spices and chicken.
tinapayan,Tinapayan,Filipino,rice,The dish consists of tapay (fermented cooked rice) and dried fish.
tube_rice_pudding,Tube rice pudding,Taiwanese,rice,The dish consists of a stir-fried glutinous rice mixture that is seasoned and steamed in a bamboo tube. This dish is a cylindrical shape caused by the steaming process in a tube.
waakye,Waakye,Ghanaian,rice,The dish is a cooked rice and beans covered with leaf sheaths.
xi,Xôi,Vietnamese,rice,The dish is a savory glutinous rice covered with eggs and Vegetable.
yakimochi,Yakimochi,Japanese,rice,"The dish is is grilled or broiled mochi or pounded rice cake. Traditionally, it is prepared using a small charcoal grill, but in modern times a gas grill can be used. During the time of the Autumn Moon, it is traditional to eat this dish while sipping sake and enjoying the view of the full moon. "
zosui,Zosui,Japanese,rice,"The dish is a mild and thin rice soup akin to a rice-based vegetable soup. It is made from pre-cooked rice and dashi or water seasoned with either soy sauce or miso and cooked with other ingredients such as meat, seafood, mushrooms, and Vegetable."
ciba_cake,Ciba cake,Chinese,snack,The dish is made of glutinous rice pounded into paste and is often fried or steamed before being served. It is often molded into shapes of balls or cuboids.
funing_big_cake,Funing big cake,Chinese,cake,"The dish traditionally use sticky rice, white sugar, and refined lard as  raw materials. Sometimes the dish also contains pine nuts, walnuts, or other ingredients as garnishes."
qingtuan,Qingtuan,Chinese,dumpling,"The dish is made of glutinous rice mixed with matcha, with a wider variety of fillings, such as rousong or salted egg yolk."
white_sugar_sponge_cake,White sugar sponge cake,Chinese,cake,"The dish is white in color, with a spongy and soft consistency. The taste is sweet, and sometimes has a slightly sour taste due to fermentation of the batter prior to cooking."
senbei,Senbei,Japanese,snack,"The dish is a rice cracker. They come in various shapes, sizes, and flavors, usually savory but sometimes sweet. This dish is often eaten with green tea as a casual snack and offered to visiting house guests as a courtesy refreshment."
sirutteok,Siru-tteok,Korean,snack,The dish is a steamed rice cake made with red bean and rice.
hwajeon,Hwajeon,Korean,snack,The dish is a pan-fried rice cake covered with edible petals.
bnh_t,Bánh tổ,Chinese,cake,The dish is made from glutinus irce flour with sticky sweet texture with brown color.
chwee_kueh,Chwee kueh,Teochew,rice,This is a steamed rice cake dish is served with preserved radish.
rijstevlaai,Rijstevlaai,Dutch,rice,The dish is a pie with a filling based on rice pudding.
tangyuan,Tangyuan,Chinese,dessert,"The dish is made of glutinous rice shaped into balls that are served in a hot broth or syrup. They come in varying sizes, anything between a marble to a ping pong ball, and are sometimes stuffed with filling."
meghli,Meghli,Levantine,dessert,"The dish is based on a floured rice pudding and spiced with anise, caraway, and cinnamon. The dish is often garnished with dried coconut flakes and various nuts including almonds, walnuts, pine nuts, and pistachios."
ch,Chè,Vietnamese,dessert,"The dish is any sweet beverage, dessert soup or stew, or pudding. It includes a wide variety of distinct soups or puddings."
ifumi,Ifumi,Indonesian,noodle,The dish served in a thick savoury sauce with pieces of meat or seafood and Vegetable. The dishes are to be served hot while the noodles are still crisp until the noodles are softened by the sauce and are ready to be eaten.
buldak_ramen,Buldak Ramen,South Korean,noodle,"The dish is a type of 'stir-fried' dry noodle: after boiling, the noodles are drained, and mixed with a spicy sauce and a topping."
maggi_goreng,Maggi goreng,Malaysian,noodle,"The dish uses Maggi brand of instant noodles, prepared with hot water before stir-frying, instead of fresh yellow noodles."
biangbiang_noodles,Biangbiang noodles,Chinese,noodle,"The dish usually made using noodles that are thick and belt-like, and are usually hand-made."
cart_noodle,Cart noodle,Hong Kong,noodle,"The dish is typically based upon the diner choosing various ingredients they would like, including the type of noodles, various soup broths, and toppings.Examples of types of noodles and toppings, which may vary considerably from stall to stall."
ht,Hōtō,Japanese,noodle,"The dish is made by stewing flat udon noodles and Vegetable in miso soup. Though this dish is commonly recognized as a variant of udon, locals do not consider it to be an udon dish because the dough is prepared in the style of dumplings rather than noodles."
otaru_ankake_yakisoba,Otaru Ankake Yakisoba,Japanese,noodle,"The dish is a variety of stir-fried noodles with a starchy sauce. Each restaurant uses different recipes and ways of serving the dish, resulting in a wide range of flavours and variations on the dish."
shirataki_noodles,Shirataki noodles,Japanese,noodle,"The dish is gelatinous noodles made from the corm of the konjac plant. In traditional cuisine, they are eaten in soups or stir-fried. The texture is chewy, similar to a tough jelly, and has little flavor before seasoning."
tensoba,Tensoba,Japanese,noodle,"There are two varieties of the dish: one is served with a hot broth of dashi and soy sauce; the other is served with cooled soba and dipped in tsukejiru (lit. ""dipping sauce""), either chilled or hot and usually strongly flavored."
bibim_guksu,Bibim guksu,Korean,noodle,The dish is a cold spicy noodle dish made with very thin wheat flour noodles called somyeon with added flavorings.
toshikoshi_soba,Toshikoshi soba,Japanese,noodle,The dish is a noodle soup dish traditionally eaten on omisoka (new year's eve).
jatguksu,Jat-guksu,Korean,noodle,The dish consists of wheat flour or buckwheat noodles in a bowl of cold broth made from ground pine nuts.
naengmyeon,Naengmyeon,Korean,noodle,"The dish consists of long and thin handmade noodles made from the flour and starch of various ingredients, including buckwheat (메밀, memil), potatoes, sweet potatoes, arrowroot starch (darker color and chewier than buckwheat noodles), and kudzu (칡, chik). The dish usually served with cold broth."
milmyeon,Milmyeon,Korean,noodle,"The dish consists of wheat noodles in a cold meat broth or a spicy sauce, and topped with Vegetable and garnish."
chow_mein_sandwich,Chow mein sandwich,American,bread,The dish consists of a brown gravy-based chow mein mixture placed between halves of a hamburger-style bun.
ksesptzle,Käsespätzle,German,noodle,"Hot spätzle and grated cheese such as Emmentaler or granular cheese are layered alternately and finally topped with fried onions. After adding each layer, the dish is baked until all the cheese is melted. Accompanying side dishes are green salads or potato salad."
kraft_dinner,Kraft Dinner,American,pasta,"The dish is a nonperishable, packaged macaroni and cheese product."
bn_c,Bún ốc,Vietnamese,noodle,"The dish contains broth, snails, and tofu as its basic characteristics but it can also contain green bananas, some fresh Vegetable or chopped water spinach, bean sprouts, water dropwort, tomatoes, and other ingredients."
tsukemen,Tsukemen,Japanese,noodle,The dish consists of noodles that are eaten after being dipped in a separate bowl of soup or broth.
abura_soba,Abura Soba,Japanese,noodle,The dish consists of dry noodle made with a sauce of soy sauce and lard.
thenthuk,Thenthuk,Tibetan,noodle,"The noodle dish is made of wheat flour dough, mixed Vegetable and some pieces of mutton or yak meat."
thukpa_bhatuk,Thukpa bhatuk,Tibetan,noodle,"The dish is made of noodle. Meat is usually a main ingredient in this soup, commonly mutton, beef or yak; however, this soup can also be made vegetarian with a vegetable bouillon."
saimin,Saimin,Hawaiian,noodle,"The dish is made of soft wheat egg noodles served in a hot dashi garnished with diced green onions and a thin slice of kamaboko. It may also include additional toppings such as char siu, sliced Spam, sliced egg, bok choy, mushrooms, or shredded nori. "
cotoletta_alla_milanese,Cotoletta alla milanese,Italian,cutlet,"The dish consists of veal rib chop or sirloin bone-in and made into a breaded cutlet, fried in butter."
krupuk,Krupuk,Indonesian,snack,The dish is a deep fried crackers made from starch and other ingredients that serve as flavouring.
khinkali,Khinkali,Georgian,side dish,"The dish is made of twisted knobs of dough, stuffed with meat, fish or Vegetable and spices."
momo,Momo,Tibetan,side dish,"The dumplings are prepared with ground/minced meat, potatoes, and leek filling."
buuz,Buuz,Mongolian,side dish,The dish is steamed dumpling filled with meat.
siomay,Siomay,Indonesian,dumpling,The dish is a steamed fish dumpling with Vegetable served in peanut sauce.
dorayaki,Dorayaki,Japanese,pancake,The dish consists of two small pancake-like patties made from castella wrapped around a filling of sweet bean paste.
buchimgae,Buchimgae,Korean,pancake,The dish made by pan-frying a thick batter mixed with egg and other ingredients until a thin flat pancake-shaped fritter is formed.
bindaetteok,Bindae-tteok,Korean,pancake,"The dish is made by grinding soaked mung beans, adding vegetable and meat and pan-frying it into a round, flat shape."
murtabak,Murtabak,Yemeni,pancake,"The dish is often described as spicy folded omelette pancake with bits of vegetable. The most common form of this dish is made from pan fried crepes usually stuffed with beaten eggs, chopped leeks, chives, or green onion (scallions) and minced meat, which is then folded and cut to squares."
chataamari,Chataamari,Nepalese,crepe,The dish is made of rice crepe with meat and egg topping.
pisang_molen,Pisang Molen,Indian Subcontinent,snack,The dish is a fritter made by deep frying battered banana or plantain in hot cooking oil.
maruya,Maruya,Filipino,fritter,The dish is made by bananas cooked with batter.
kluai_khaek,Kluai khaek,Thai,fritter,"The dish is made from fried, floured banana commonly topped with white sesame."
chui_chin,chuối chiên,Vietnamese,fritter,"The dish after deep frying, banana fritters are drizzled with rum or rice wine and ignited to further crisp them."
doenjang_jjigae,Doenjang jjigae,Korean,stew,"This dish is made from the primary ingredient of soybean paste, and additional optional ingredients Vegetable, seafood, and meat."
douhua,Douhua,Chinese,pudding,"This dish is a sweet or savoury snack made with silken tofu. It is also referred to as tofu pudding, soybean pudding, or tofu brains."
ganmodoki,Ganmodoki,Japanese,fritter,"The dish is a fried tofu fritter made with Vegetable such as carrots, lotus roots, and burdock with sometimes egg."
kupat_tahu,Kupat tahu,Indonesian,tofu,The dish is a rice cake served with peanut sauce topped with crispy crackers.
stinky_tofu,Stinky tofu,Chinese,tofu,"This dish is a form of fermented tofu that has a strong odor. It is usually sold at night markets or roadside stands as a snack, or in lunch bars as a side dish, rather than in restaurants. Traditionally the dish is fermented in a brine with Vegetable and meat, sometimes for months."
taho,Taho,Filipino,dessert,The dish is made from soft tofu with sweet brown-colored sugar syrup and sago pearls.
tahu_sumedang,Tahu sumedang,Indonesian,tofu,"The dish is made of deep-fried tofu, usually served with separate green chili."
corunda,Corunda,Mexican,corn,"The dish is wrapped in a long corn or reed plant leaf, and folded, making a triangular shape or spherical shape. They are typically steamed until golden and eaten with sour cream and red salsa."
andong_jjimdak,Andong jjimdak,Korean,stir fry,"This dish is a stew made with chicken, various Vegetable marinated in a soy sauce based sauce."
galbijjim,Galbi-jjim,Korean,stew,"This dish is a stew made with short rib, generally beef or pork."
urap,Urap,Indonesian,vegetable,The dish is a salad dish of steamed Vegetable mixed with seasoned and spiced grated coconut for dressing.
mantau,Mantau,Chinese,bread,"The dish is a white and soft type of steamed bread or bun. It is made with milled wheat flour, water and leavening agents."
tingmo,Tingmo,Chinese,bread,The dish is a steamed bun with shape similar to flower rolls with soft and fluffy texture.
wotou,Wotou,Chinese,bread,The dish is a type of steamed bread made from cornmeal.
baozi,Baozi,Chinese,bread,"This dish is a type of yeast-leavened filled bun. There are many variations in fillings (meat or vegetarian) and preparations, though the buns are most often steamed."
gaobuli,Gaobuli,Chinese,bread,This dish is a bun with wrinkles on the outside.
shengjian_mantou,Shengjian mantou,Chinese,bread,"This dish is a small, pan-fried bun with pork filling."
tangbao,Tangbao,Chinese,bread,"This dish is a soup buns, a large, soup-filled buns made by wrapping dough which then steamed into soup."
hoppang,Hoppang,Korean,bread,"This dish is a convenience food version of steamed bread and is typically filled with smooth, sweetened red bean paste."
jjinppang,Jjinppang,Korean,bread,"This dish is a steamed bun, typically filled with red bean paste with bits of broken beans and bean husk."
lotus_seed_bun,Lotus seed bun,Chinese,bread,This dish is a steamed yeast-leavened dough that contains lotus seed paste.
longevity_peach,Longevity peach,Chinese,bread,"This dish is a white bun with red dyed tip with a crease along the side, mimicking shape of the peach."
mandarin_roll,Mandarin roll,Chinese,bread,The dish is a steamed white-colored bun with a twisted shape.
taro_cake,Taro cake,Chinese,cake,"The dish is a dense texture cake made from vegetable taro, cut into rectangular slices and pan-fried."
treacle_sponge_pudding,Treacle sponge pudding,British,dessert,The dish is a steamed sponge cake with treacle cooked on top of it.
karukan,Karukan,Japanese,rice,The dish is a traditional confection in the form of a long block.
kue_mangkok,Kue mangkok,Indonesian,dessert,"The dish is a traditional steamed cupcake that requires few ingredients, typically around four to five, and is cooked by steaming."
seri_muka,Seri muka,Indonesian,dessert,The dish is a two-layered dessert with steamed glutinous rice at the bottom and a green pandan-flavored custard on top.
lucky_tattie,Lucky tattie,Scottish,sweets,"The dish is made of a white fondant solid core flavoured with cassia, and steamed and covered with cinnamon powder."
chawanmushi,Chawanmushi,Japanese,egg,"The dish is a savory egg custard made by steaming an egg mixture flavored with soy sauce, dashi, and mirin."
eomandu,Eo-mandu,Korean,dumpling,"The dish is a half-moon-shaped dumpling prepared with filleted whitefish, most typically brown croakers, instead of flour dough as the wrapping."
har_gow,Har gow,Cantonese,dim sum,"The dish is a traditional dumpling served as dim sum. It is made of shrimp meat, and steamed in a flour wrapper. After cooking, the wrapper becomes somewhat translucent."
steamed_cheeseburger,Steamed cheeseburger,American,bread,This dish is a type of hamburger topped with cheese that is cooked via steaming.
cabinet_pudding,Cabinet pudding,British,pudding,"The dish is a steamed, sweet, moulded pudding made from some combination of bread or sponge cake or similar ingredients in custard, cooked in a mould faced with decorative fruit pieces such as cherries or raisins, served with some form of sweet sauce."
jeungpyeon,Jeungpyeon,Korean,rice,The dish is made by steaming rice flour dough prepared with makgeolli (rice wine).
mujigaetteok,Mujigae-tteok,Korean,rice,The dish is a layered tteok (rice cake) of different colors resembling a rainbow.
bappir,Bappir,Iraqi,bread,The dish is a twice-baked barley bread.
fat_rascal,Fat rascal,English,cake,"The dish baked as a buttery, flat cake baked in a covered pan among the ashes of a peat fire."
paximathia,Paximathia,Greek,bread,"The dish is a hard bread that is prepared with whole wheat, chick pea or barley flour."
aachener_printen,Aachener Printen,German,cake,"This pastry is originally sweetened with honey, but are now generally sweetened with a syrup made from sugar beets."
abernethy_biscuit,Abernethy biscuit,British,snack,"The dish is a type of digestive biscuit, a baked good originally designed to be eaten as a support to proper digestion."
acbadem_kurabiyesi,Acıbadem kurabiyesi,Turkish,snack,"The dish is a biscuit made of almonds, sugar and egg whites. The traditional recipes include a small amount of bitter almonds"
amaretti_di_saronno,Amaretti di Saronno,Italian,snack,"The dish is a type of amaretto, a bitter-sweet flavored macaroon. It is one of many types of traditional amaretti, but the only one made with apricot kernels (the others are usually made with almonds)."
aparon,Aparon,Filipino,snack,"This dish is a wafer drizzled with caramelized sugar and optionally, sesame seeds. It is uniquely made from unconsecrated communion wafers."
basler_lckerli,Basler Läckerli,Swiss,dessert,"The dish is made by baking a thin layer of dough, which is then topped with a sugar glaze while still hot and cut into rectangular pieces."
berger_cookies,Berger Cookies,American,dessert,"The dish is frosted on its flat bottom, giving the final cookie an overall rounded shape. Each weighs 1.25 ounces, with the cake-like under-cookie weighing a quarter of an ounce, and the chocolate/fudge frosting weighing an ounce."
bourbon_biscuit,Bourbon biscuit,British,dessert,The dish is a sandwich biscuit consisting of two thin rectangular dark chocolate-flavoured biscuits with a chocolate buttercream filling.
camachile_cookie,Camachile cookie,Filipino,dessert,The dish is characteristically shaped like the fruits of the camachile tree (Pithecellobium dulce).
carrot_cake_cookie,Carrot cake cookie,British,dessert,The dish is cake that contains carrots mixed into the batter.
cat_tongue,Cat tongue,French,snack,"The dish is a small, long, and flat biscuit resembling a cat's tongue."
caycay,Caycay,Filipino,snack,The dish is a crunchy layered cookie coated in syrup (latik) or honey and rolled in coarsely ground toasted peanuts.
chocolatecoated_marshmallow_treats,Chocolate-coated marshmallow treats,Danish,dessert,The dish is a confection consisting of a biscuit base topped with marshmallow-like filling and then coated in a hard shell of chocolate.
custard_cream,Custard cream,British,snack,"The dish is a type of sandwich biscuit filled with a creamy, custard-flavoured centre."
drabbelkoek,Drabbelkoek,Dutch,snack,The dish is a sort of round and hard cookie which made by dribbling strings of the liquid dough in hot butter.
fig_roll,Fig roll,Middle Eastern,snack,The dish is a biscuit or cookie consisting of a rolled cake or pastry filled with fig paste.
finskepinner,Finskepinner,Swedish,snack,"The dish is a shortbread cookie characterized by its long shape, crispy texture, and its frequent consumption during Christmas."
fudge_cookie,Fudge cookie,Global,snack,"The dish is a is a cookie that is prepared with fudge or that has the flavor, consistency or texture of fudge."
galletas_de_patatas,Galletas de patatas,Filipino,snack,The dish is a thick and square-shaped biscuit with upturned edges.
garibaldi_biscuit,Garibaldi biscuit,British,snack,The dish consists of currants squashed and sandwiched between two thin oblongs of biscuit dough before baking.
gazelle_ankles,Gazelle ankles,Algerian,snack,The dish is a crescent-shaped cookies made of flour-based dough filled with almond paste aromatized with orange blossom water.
qurabiya,Qurabiya,Arabic,snack,"The dish is a shortbread-type biscuit, usually made with ground almonds."
gingerbread_man,Gingerbread man,English,snack,"The dish is a biscuit or cookie made from gingerbread, usually in the shape of a stylized human being following seasonal themes."
halfmoon_cookie,Half-moon cookie,Filipino,snack,The dish  is a semicircle- or crescent-shaped butter cookie. It has a soft crumbly texture and a sweet flavor with a salty aftertaste.
jacobina,Jacobina,Filipino,snack,The dish is a biscuit that are distinctively cubical in shape.
jammie_dodgers,Jammie Dodgers,British,snack,The dish is a  biscuit made from shortcake with a raspberry or strawberry flavoured jam filling.
jodenkoek,Jodenkoek,Dutch,snack,"The dish is a big, flat, round shortbread biscuit with a diameter of about 10 centimeters (4"")."
kaasstengels,Kaasstengels,Dutch,snack,The dish is a cheese snack in the shape of sticks. It tastes savoury and salty instead of sweet.
kahk,Kahk,Egyptian,snack,"The dish is a small circular biscuit. It is covered with powdered sugar and can be stuffed with ʿagameyya (a mixture of honey, nuts, and ghee), lokum, walnuts, pistachios, or dates, or simply served plain."
kimpinn,Kiâm-piánn,Taiwanese,snack,"The dish is a biscuit which is characterized by a crispy texture and a savory taste with a hint of pepper, which becomes subtly sweet upon chewing."
kue_gapit,Kue gapit,Indonesian,snack,"This dish is a kind of cracker generally made from tapioca flour. Its name comes from the cooking process, in which it is grilled between iron molds like a waffle."
kue_satu,Kue satu,Indonesian,snack,This dish is a traditional cookie made of sweet white-colored mung bean powder that crumbles when bitten.
lincoln_biscuit,Lincoln biscuit,Irish,snack,"The dish is a circular shortcake biscuit, most commonly decorated on one side with a pattern of raised dots."
maple_leaf_cream_cookie,Maple leaf cream cookie,Canadian,dessert,"The dish is a sandwich cookies. The cream filling is maple-flavoured, and may contain real maple syrup."
paciencia,Paciencia,Filipino,snack,"The dish is made from beaten egg whites, flour, and calamansi with hemispherical shape."
petitbeurre,Petit-Beurre,French,snack,The dish is a type of shortbread surface of the biscuit is smooth and has twenty-four indents (four lines with six columns) intermixed with the inscription of the dish name in three lines.
pepernoot,Pepernoot,Dutch,snack,"The dish is light brown, square shaped, and made from the same ingredients as taai-taai: rye flour, sugar and anise, and sometimes also cinnamon, and clove. They are fairly chewy, though they harden gradually when exposed to the air. "
pinolate,Pinolate,Italian,snack,"The dish is a type of cookie light golden color and studded with golden pine nuts (pinoli in Italian). Made with almond paste and egg whites, they are moist, soft and chewy."
piata_cookie,Piñata cookie,Mexican,snack,The dish is a sugar cookie that is shaped and colored like a rainbow colored horse and filled with various small candies which spill out when the cookie is broken.
kue_putri_salju,Kue putri salju,Indonesian,snack,The dish is dried cake shaped like crescents and covered with powdered sugar.
kue_semprong,Kue semprong,Indonesian,biscuit,The dish is a wafer snack made by clasping egg batter using an iron mold (Waffle iron) which is heated up on a charcoal stove.
silvana,Silvana,Filipino,cookies,The dish is frozen cookie consisting of a layer of buttercream sandwiched between two cashew-meringue wafers coated with cookie crumbs.
spritzgebck,Spritzgebäck,German,cookies,"The dish is a type biscuit or cookie made of a rich shortcrust pastry. When made correctly, the cookies are crisp, fragile, somewhat dry, and buttery."
teiglach,Teiglach,German,dessert,"The dish is small, knotted pastries boiled in a honeyed syrup."
tirggel,Tirggel,Swiss,biscuit,"The dish is made from flour and honey, they are thin, hard, and sweet."
ugoyugoy,Ugoy-ugoy,Filipino,biscuit,The dish is a type of layered biscuits. They are typically rectangular or ribbon-like in shape and are topped with granulated sugar.
uraro,Uraro,Filipino,cookies,The dish is made from cassava like flour. They have a dry and powdery texture and are usually flower-shaped.
el_fudge,E.L. Fudge,American,cookies,The dish is a type of butter-flavored shortbread sandwich cookies with a fudge creme filling.
hello_panda,Hello Panda,Japanese,biscuit,"The dish is a type of filling biscuits, each biscuit consists of a small hollow shortbread layer, filled with crème of various flavors. On some biscuits are printed cartoon style depictions of giant pandas doing various activities, such as fencing and archery, and also in the United States, other activities such as hockey and baseball."
lorna_doone,Lorna Doone,Irish,cookies,"The dish is a brand of golden, square-shaped shortbread cookie."
viennese_whirls,Viennese whirls,British,biscuit,The dish is a type of biscuit consisting of soft shortbread cakes piped into a whirl shape and come in various shapes with different fillings and decorations.
alexandertorte,Alexandertorte,Russian,cake,"The dish is a cake that consists of pastry strips filled with raspberry preserves or raspberry jam. It is traditionally eaten as a dessert after lunch or dinner, but it can also be served at tea time. It should be made a day or so before it is planned to serve, because the icing must be hard before the cake is cut."
bahulu,Bahulu,Malaysian,cake,"The dish is a type of pastry. There are three versions available, the most common being star-shaped and the more elusive shaped like rolls and layered."
bakewell_pudding,Bakewell pudding,English,dessert,The dish is a type of dessert consisting of a flaky pastry base with a layer of sieved jam and topped with a filling made of egg and almond paste.
bakpia_pathok,Bakpia pathok,Indonesian,dessert,"The dish usually stuffed with mung beans, but have recently come in other fillings as well, e.g. chocolate, durian and cheese."
