dish_id,name,primary_cuisine,primary_coarse,countries,region,description,ingredients_matched,n_ingredients,has_cdb_match,source
khao_phat,Khao Phat,Thai,rice,"[""Thailand""]",South Eastern Asia,"The dish normally contains meat (chicken, shrimp, and crab are all common), egg, onions, garlic and sometimes tomatoes. The seasonings, which may include soy sauce, sugar, salt, possibly some chili sauce, and the ubiquitous nampla (fish sauce), are stir-fried together with the other ingredients. The dish is then plated and served with accompaniments like cucumber slices, tomato slices, lime and sprigs of green onion and coriander, and phrik nampla, a spicy sauce made of sliced chilies, chopped garlic cloves, fish sauce, lime juice and sugar. ","['chicken', 'chili', 'coriander', 'crab', 'cucumber', 'egg', 'fish', 'fish_sauce', 'garlic', 'lime', 'onion', 'salt', 'shrimp', 'soy_sauce', 'sugar', 'tomato']",16,False,worldcuisines
hokkien_fried_rice,Hokkien fried rice,Taiwanese,rice,"[""China"",""Taiwan""]",Eastern Asia,"The dish is a fried rice featuring a saucy stir-fried topping on egg fried rice. The topping may include mushrooms, meat, Vegetable, and other ingredients, cooked with water, starch, broth, soy sauce, and oyster sauce.","['egg', 'rice', 'soy_sauce']",3,False,worldcuisines
yin_yang_fried_rice,Yin yang fried rice,Chinese,rice,"[""China""]",Eastern Asia,This dish is a fried rice featuring bechamel sauce and tomato sauce.,"['rice', 'tomato']",2,False,worldcuisines
chahan,Chahan,Japanese,rice,"[""Japan""]",Eastern Asia,"The dish is a Japanese fried rice made in a wok with rice and a variety of ingredients, such as scrambled egg, Vegetable, onion, garlic, mushrooms, tofu, pork, and seafood like crab, roe, and shrimp. It's fried using oils like canola, sesame, or sunflower, and seasoned with soy sauce, oyster sauce, sesame oil, salt, and pepper.","['carrot', 'chicken', 'corn', 'crab', 'egg', 'garlic', 'onion', 'pepper', 'pork', 'rice', 'salt', 'sesame_oil', 'sesame_seed', 'shrimp', 'soy_sauce', 'sugar', 'tofu', 'vegetable_oil']",18,True,worldcuisines
omurice,Omurice,Japanese,rice,"[""Japan""]",Eastern Asia,"The dish consists of an omelette made with fried rice and thin, scrambled eggs, usually topped with ketchup.","['bacon', 'butter', 'chili', 'egg', 'ketchup', 'mushroom', 'onion', 'pepper', 'rice', 'tomato', 'zucchini']",11,True,worldcuisines
aligue_fried_rice,Aligue fried rice,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is made by stir-frying pre-cooked rice with crab fat, toasted garlic, spring onions, black pepper, rock salt, and optionally butter. It has a bright orange-yellow color from the crab fat. It can be mixed with seafood like shrimp and squid or served alongside meat dishes.","['black_pepper', 'butter', 'crab', 'garlic', 'pepper', 'rice', 'salt', 'shrimp', 'squid']",9,False,worldcuisines
java_rice,Java rice,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is a scoop of white rice served with small portions of various dishes, including meats, Vegetable, peanuts, eggs, and fried shrimp crackers.","['egg', 'rice', 'shrimp']",3,False,worldcuisines
sinangag,Sinangag,Filipino,rice,"[""Philippines"",""Indonesia"",""Malaysia"",""Singapore""]",South Eastern Asia,"The dish is fried rice stir-fried with garlic, using preferably stale rice for a firmer texture. It is garnished with toasted garlic, rock salt, black pepper, and sometimes chopped scallions. The rice grains are ideally loose and not stuck together.","['black_pepper', 'egg', 'garlic', 'pepper', 'rice', 'salt', 'soy_sauce']",7,True,worldcuisines
yangzhou_fried_rice,Yangzhou Fried Rice,Chinese,rice,"[""China""]",Eastern Asia,"The egg fried rice with mixed Vegetable and two forms of protein, typically pork and shrimp with scallions. ","['carrot', 'egg', 'ginger', 'ketchup', 'onion', 'peanut', 'pepper', 'pork', 'rice', 'shrimp', 'soy_sauce']",11,True,worldcuisines
akhni,Akhni,Bangladeshi,rice,"[""Bangladesh""]",Southern Asia,"The mixed rice and meat dish, a variant of pilaf. ","['chickpea', 'chili', 'coriander', 'cream', 'garlic', 'onion', 'rice']",7,True,worldcuisines
akki_rotti,Akki rotti,Canarese,rice,"[""India""]",Southern Asia,The dish is a rice-based flatbread made from rice flour.,"['carrot', 'coconut', 'cumin', 'pita', 'rice', 'salt', 'vegetable_oil', 'wheat_flour']",8,True,worldcuisines
ampaw,Ampaw,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is made from cooked white rice, which is dried in the sun for around four hours. The rice is then fried in hot oil until puffed, and the oil is drained. The sugar glazing is prepared separately with muscovado sugar or molasses, salt, butter, and vinegar or calamansi juice. The glazing is poured over the puffed rice and mixed until evenly coated. Once cooled, it is shaped into blocks or balls before hardening.","['butter', 'rice', 'salt', 'sugar', 'vegetable_oil', 'vinegar']",6,False,worldcuisines
appam,Appam,Indian,pancake,"[""India"",""Sri Lanka""]",Southern Asia,"The dish is made with a fermented rice batter and coconut milk. They’re cooked in a deep pan like a wok, giving them their unique shape.","['coconut', 'coconut_milk', 'milk', 'rice']",4,True,worldcuisines
aremarem,Arem-arem,Indonesian,rice,"[""Indonesia""]",South Eastern Asia,"The dish is a compressed rice cake in a banana leaf, filled with diced Vegetable, tempeh, or oncom. It can also be filled with minced meat or beef floss and is eaten as a snack.","['banana', 'beef', 'rice']",3,False,worldcuisines
arroz_caldoso,Arroz caldoso,Spanish,rice,"[""Spain""]",Southern Europe,"The dish consists of rice cooked in broth, with various seasonings and ingredients. The recipe varies by region, ranging from a risotto-like consistency to a rice soup or a dish resembling paella.",['rice'],1,False,worldcuisines
arroz_chaufa,Arroz chaufa,Chinese Peruvian,rice,"[""Peru""]",South America,"The dish is a fried rice mix with Vegetable, typically including scallions, eggs, and chicken. It’s cooked quickly at high heat, often in a wok, with soy sauce and oil.","['chicken', 'egg', 'rice', 'soy_sauce', 'vegetable_oil']",5,False,worldcuisines
arroz_con_gandules,Arroz con gandules,Puerto Rican,rice,"[""Puerto Rico""]",Caribbean,"The dish is a flavorful rice dish seasoned with sofrito, featuring pigeon peas, meats like ham or chorizo, and annatto oil for color. It is traditionally cooked for special occasions, often with a plantain leaf to enhance the aroma and flavor.","['bacon', 'banana', 'chicken', 'garlic', 'onion', 'pepper', 'rice', 'salt', 'tomato', 'vegetable_oil']",10,True,worldcuisines
arroz_con_huevo_frito,Arroz con huevo frito,Central American,rice,"[""United States""]",Northern America,The dish is made with rice with fried egg.,"['egg', 'rice']",2,False,worldcuisines
arroz_con_maiz,Arroz con maiz,Latin American,rice,"[""Cuba"",""Dominican Republic"",""Venezuela"", ""Puerto Rico""]",Caribbean,The dish is made with rice and corn cooked in one pot.,"['corn', 'rice']",2,False,worldcuisines
arroz_de_lisa,Arroz de lisa,Colombian,rice,"[""Colombia""]",South America,"The dish is made with mullet, typically including Vegetable, and spices. It is usually served in a leaf with minced chives, accompanied by bollo, avocado salad, and guarapo. ",['avocado'],1,False,worldcuisines
baghali_polo,Baghali polo,Iranian,rice,"[""Iran""]",Southern Asia,"The dish consists of rice, fava beans and dill. It is made by cooking rice and green broad beans in boiling water. When cooked, the rice and beans are layered with dill in a pan, and everything is baked in an oven until ready. Saffron water can also be added to the rice.[1] It is typically served with meat. Like other Iranian traditional foods, the dish may be served at special occasions and family gatherings.","['rice', 'vegetable_oil']",2,False,worldcuisines
balaobalao,Balao-balao,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is a condiment of cooked rice and whole raw shrimp fermented with salt and angkak.Once stir-fried, it can be eaten as is with rice or used as a dipping sauce for grilled or fried dishes.","['rice', 'salt', 'shrimp']",3,False,worldcuisines
bannu_pulao,Bannu pulao,Pakistani,rice,"[""Pakistan"",""United Arab Emirates"",""Saudi Arabia""]",Southern Asia,"The dish is made with beef, rice, spices, and stock. The beef is cooked with bones and marrow, which gives the dish a rich and flavorful taste. The rice is cooked separately with ghee, salt, and whole spices. The dish is served with a garnish of onions, green chilies, and lemon wedges.","['beef', 'chili', 'lemon', 'rice', 'salt']",5,False,worldcuisines
bnh_chng,Bánh chưng,Vietnamese,rice,"[""Vietnam""]",South Eastern Asia,"The dish is made from glutinous rice, mung beans, pork and other ingredients.","['pork', 'rice']",2,False,worldcuisines
bahon,Bah-oân,Taiwanese,dim sum,"[""Taiwan"",""China""]",Eastern Asia,The dish is a disk-shaped translucent dough 6–8 cm diameter made of sweet potato starch filled with savory stuffing and served with sweet and savory sauce.,"['potato', 'sweet_potato', 'wheat_flour']",3,False,worldcuisines
baye_baye,Baye baye,Filipino,rice,"[""Philippines""]",South Eastern Asia,The dish is made from grated young coconut mixed with either newly harvested rice (pinipig) or corn and shaped into patties.,"['coconut', 'corn', 'rice']",3,False,worldcuisines
bhakri,Bhakri,Indian,bread,"[""India""]",Southern Asia,The dish is a round flatbread. It is coarser than a regular wheat flatbread. It can be either soft or hard in texture.,"['cumin', 'pita']",2,True,worldcuisines
bibingka,Bibingka,Filipino,dessert,"[""Philippines""]",South Eastern Asia,The dish is a type of baked rice cake that is traditionally cooked in a terracotta oven lined with banana leaves and is usually eaten for breakfast or as mid-afternoon snack especially during the Christmas season.,"['banana', 'butter', 'cheese', 'coconut_milk', 'egg', 'lemon', 'milk', 'rice', 'salt', 'sugar', 'vanilla', 'wheat_flour']",12,True,worldcuisines
biko,Biko,Filipino,dessert,"[""Philippines""]",South Eastern Asia,"The dish is made of coconut milk, brown sugar, and sticky rice.It is usually topped with the coconut curds or the syrupy caramel-like variant.","['coconut', 'coconut_milk', 'milk', 'rice', 'sugar']",5,True,worldcuisines
binignit,Binignit,Filipino,dessert,"[""Philippines""]",South Eastern Asia,"The dish is traditionally made with glutinous rice cooked in coconut milk with various slices of bananas, taro, ube, and sweet potato, among other ingredients.","['coconut', 'coconut_milk', 'milk', 'potato', 'rice', 'sweet_potato']",6,False,worldcuisines
bisi_bele_bath,Bisi Bele Bath,Indian,rice,"[""India""]",Southern Asia,"The dish is a spicy, rice-based dish. It involves the use of a spicy masala (huliyanna), toor dal (a type of lentil), rice, ghee and Vegetable.Spices like nutmeg, asafoetida, curry leaves and tamarind pulp contribute to its unique flavour and taste.","['chili', 'coconut', 'coriander', 'cumin', 'curry_paste', 'lentil', 'mustard', 'pepper', 'rice', 'turmeric']",10,True,worldcuisines
bhel_puri,Bhel puri,Indian,snack,"[""India""]",Southern Asia,"The dish is made of puffed rice, crumbled crunchy puri, onions, cilantro and tossed with two chutneys: a green spicy cilantro chutney and a brown tangy tamarind chutney.","['coconut', 'coriander', 'ginger', 'lemon', 'onion', 'rice', 'salt']",7,True,worldcuisines
bokkeumbap,Bokkeum-bap,Korean,rice,"[""Korea""]",Eastern Asia,"The dish is made by stir-frying cooked rice with other ingredients in oil. It is a popular end-of-meal add-on.after eating main dishes cooked on a tabletop stove,then cooked rice along with seaweed flakes and sesame oil will be added directly into the remains of the main dish, stir-fried and scorched.","['rice', 'sesame_oil', 'sesame_seed', 'vegetable_oil']",4,False,worldcuisines
boudin,Boudin,French,meat,"[""France"", ""Luxembourg"", ""Belgium"", ""Switzerland"", ""Canada"", ""United States"", ""Italy""]",Western Europe,"The dish is essentially pig’s guts filled with blood and other ingredients, such as onions, spinach, etc.","['celery', 'chili', 'garlic', 'onion', 'pepper', 'pork', 'rice', 'salt', 'spinach']",9,True,worldcuisines
bubur_ayam,Bubur ayam,Indonesian,rice,"[""Indonesia""]",South Eastern Asia,"The dish is rice congee with shredded chicken, served with condiments like chopped scallion, crispy fried shallot, celery, preserved Vegetable, fried soybean, crullers, and soy sauce. It is sometimes topped with yellow chicken broth and crackers","['celery', 'chicken', 'onion', 'rice', 'soy_sauce', 'soybean']",6,False,worldcuisines
burasa,Burasa,Indonesian,rice,"[""Indonesia"",""Malaysia""]",South Eastern Asia,"The dish is an Indonesian rice dumpling, cooked with coconut milk packed inside a banana leaf pouch.","['banana', 'coconut', 'coconut_milk', 'milk', 'rice']",5,False,worldcuisines
burong_isda,Burong isda,Filipino,fish,"[""Philippines""]",South Eastern Asia,The dish consisting of cooked rice and raw filleted fish fermented with salt and angkak (red yeast rice) for around a week.,"['fish', 'rice', 'salt']",3,False,worldcuisines
pe_htaw_bhut_htamin,Pe htaw bhut htamin,Burmese,rice,"[""Myanmar""]",South Eastern Asia,"The dish is a festive rice dish, typically associated with celebratory occasions like wedding receptions or almsgiving feasts. The rice dish is typically paired with a traditional chicken or mutton curry. It uses long-grained paw hsan hmwe or basmati rice, and in its most basic form, is cooked with butter, lentils, and bay leaves.Cashew nuts and raisins may be added, and the dish can be spiced with cinnamon sticks, cardamom pods or cloves, and garnished with fried golden onions to serve.","['butter', 'cashew', 'chicken', 'curry_paste', 'rice']",5,False,worldcuisines
cabidela,Cabidela,Portuguese,stew,"[""Portugal""]",Southern Europe,"The dish is made with poultry, usually a Rooster (chicken). The particularity of the dish is that the hen's blood is added almost at the end, mixed with vinegar (so it doesn't clot) while the rice is boiling.","['chicken', 'rice', 'vegetable_oil', 'vinegar']",4,False,worldcuisines
champorado,Champorado,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is traditionally made by boiling sticky rice with tablea (traditional tablets of pure ground roasted cocoa beans). It can be served hot or cold, usually for breakfast or merienda, with a drizzle of milk (or coconut milk) and sugar to taste. It is usually eaten as is, but a common pairing is with salted dried fish (daing or tuyo). ","['chocolate', 'coconut', 'coconut_milk', 'fish', 'milk', 'rice', 'salt', 'sugar', 'vegetable_oil']",9,True,worldcuisines
chao,Chao,Vietnamese,rice,"[""Vietnam""]",South Eastern Asia,The dish is a form of savoury rice porridge made by boiling rice in a large amount of water until the rice softens. It is is sometimes cooked with pandan leaves or Asian mung bean. It is a simple breakfast food eaten with pickled Vegetable or fermented tofu.,"['almond', 'butter', 'chickpea', 'chili', 'coriander', 'milk', 'rice', 'tofu', 'tomato', 'turmeric', 'vegetable_oil', 'vinegar']",12,True,worldcuisines
chazuke,Chazuke,Japanese,rice,"[""Japan""]",Eastern Asia,"The dish is made by pouring green tea, dashi, or hot water over cooked rice. This dish provides a way to use leftover rice as a quick snack because it is easy to make.","['rice', 'tea']",2,False,worldcuisines
chelow,Chelow,Iranian,rice,"[""Iran""]",Southern Asia,"The dish is made with rice that is carefully prepared through soaking and parboiling, at which point the water is drained and the rice is steamed. This method results in an exceptionally fluffy rice with the grains separated and not sticky; it also results in a golden rice crust at the bottom of the pot.","['rice', 'vegetable_oil']",2,False,worldcuisines
chiayi_turkey_rice,Chiayi turkey rice,Taiwanese,rice,"[""Taiwan""]",Eastern Asia,"The dish is a bowl of rice with shredded turkey layered on top, often accompanied by pickled radish. The rice is drizzled with a kind of gravy made from the turkey drippings and soy sauce.","['rice', 'soy_sauce', 'turkey']",3,False,worldcuisines
chitranna,Chitranna,Indian,rice,"[""India""]",Southern Asia,"The dish is prepared by mixing cooked rice with a special seasoning called Oggarane or Gojju. Characteristic for the seasoning are mustard seeds, fried lentils, peanuts, curry leaves, chillies, lemon juice and other optional items such as scrapes of unripe mango.","['curry_paste', 'lemon', 'mango', 'rice']",4,False,worldcuisines
cifantuan,Cifantuan,Chinese,rice,"[""China""]",Eastern Asia,The dish is made by tightly wrapping a piece of youtiao (fried dough) with glutinous rice. It is usually eaten as breakfast together with sweetened or savory soy milk.,"['milk', 'rice', 'wheat_flour']",3,False,worldcuisines
claypot_rice,Claypot rice,Chinese,rice,"[""China"",""Indonesia"",""Singapore"",""Thailand""]",South Eastern Asia,"The dish is made with cooked rice, finished in a claypot with other ingredients that flavor the rice. It is often served with chicken, sausage, and Vegetable.","['chicken', 'rice', 'sausage']",3,False,worldcuisines
cm_tm,Cơm tấm,Vietnamese,rice,"[""Vietnam""]",South Eastern Asia,The dish is made of rice with fractured rice grains.,['rice'],1,False,worldcuisines
curd_rice,Curd rice,Indian,rice,"[""India""]",Southern Asia,The dish combining steamed white rice and yogurt.,"['butter', 'chili', 'milk', 'mustard', 'pepper', 'rice', 'yogurt']",7,True,worldcuisines
dal_bhat,Dal bhat,Indian Subcontinent,rice,"[""India"", ""Bangladesh"", ""Nepal"", ""Bhutan"", ""Sri Lanka"", ""Trinidad and Tobago"", ""Guyana"", ""Suriname"", ""Jamaica"", ""Mauritius"", ""Fiji""]",Caribbean,The dish consists of steamed rice and a cooked lentil or other pulses stew called dal.,"['lentil', 'rice']",2,False,worldcuisines
dirty_rice,Dirty rice,Louisiana Creole,rice,"[""United States""]",Northern America,"The dish is made from white rice which gets a ""dirty"" color from being cooked with small pieces of pork, beef or chicken, green bell pepper, celery, and onion, and spiced with cayenne and black pepper. Parsley and chopped green onions are common garnishes.","['beef', 'black_pepper', 'celery', 'chicken', 'chili', 'onion', 'pepper', 'pork', 'rice', 'salt', 'vegetable_oil', 'wheat_flour']",12,True,worldcuisines
espasol,Espasol,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is made from glutinous rice flour cooked in coconut milk and sweetened coconut strips and, afterwards, dusted or coated with toasted rice flour.","['coconut', 'coconut_milk', 'milk', 'rice', 'wheat_flour']",5,False,worldcuisines
touffe,Étouffée,American,rice,"[""United States""]",Northern America,"The dish is made from shellfish, simmered in a sauce made from a light or blond roux, served over rice. It is most commonly made with crab, shrimp or crawfish.","['butter', 'celery', 'chicken', 'chili', 'crab', 'garlic', 'onion', 'pepper', 'rice', 'salt', 'shrimp', 'tomato', 'vegetable_oil', 'wheat_flour']",14,True,worldcuisines
gaifan,Gaifan,Chinese,rice,"[""China""]",Eastern Asia,"The dish consists of a fish, meat, or vegetable topping served over rice. The dish can be either freshly cooked or previously cooked, such as char siu.","['fish', 'rice']",2,False,worldcuisines
gallo_pinto,Gallo pinto,Nicaraguan,rice,"[""Nicaragua"",""Costa Rica""]",Central America,"The dish consisting of rice and beans as a base. The beans are quickly cooked until the juice is almost consumed, then combined with prepared rice and other ingredients such as cooked oregano, bell peppers, coriander, chopped onions, and garlic. ","['coriander', 'garlic', 'pepper', 'rice']",4,False,worldcuisines
ginataang_mais,Ginataang mais,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is made by boiling glutinous rice until almost done. Sweet corn, coconut milk, and sugar are then added and the heat lowered shortly before the rice is fully cooked. It is eaten warm in colder months, but can also be eaten cold during summer.","['coconut', 'coconut_milk', 'corn', 'milk', 'rice', 'sugar', 'vegetable_oil']",7,False,worldcuisines
ginataang_munggo,Ginataang munggo,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is a glutinous rice gruel dessert with toasted mung beans, coconut milk, and sugar. It is typically flavored with vanilla or pandan leaves. Corn and fruits like jackfruit or banana may also be added.","['banana', 'coconut', 'coconut_milk', 'corn', 'milk', 'rice', 'sugar', 'vanilla']",8,False,worldcuisines
gimbap,Gimbap,Korean,rice,"[""Korea""]",Eastern Asia,"The dish is made from cooked rice, Vegetable, fish, and meat rolled in gim—dried sheets of seaweed—and served in bite-sized slices.","['fish', 'rice']",2,False,worldcuisines
goto,Goto,Filipino,rice,"[""Philippines""]",South Eastern Asia,"The dish is cooked with beef tripe, ginger and garnished with toasted garlic, scallions, black pepper, and chicharon. It is usually served with calamansi, soy sauce, or fish sauce as condiments, as well as a hard-boiled egg.","['avocado', 'beef', 'black_pepper', 'egg', 'fish', 'fish_sauce', 'garlic', 'ginger', 'lemon', 'mango', 'onion', 'pepper', 'salt', 'soy_sauce', 'vegetable_oil']",15,True,worldcuisines
gumbo,Gumbo,American,stew,"[""United States""]",Northern America,"The dish consists primarily of a strongly flavored stock, meat or shellfish (or sometimes both), a thickener, celery, bell peppers, and onions. The okra or filé powder often used as thickener.","['celery', 'chili', 'garlic', 'onion', 'pepper', 'rice', 'salt', 'shrimp', 'tomato', 'vegetable_oil']",10,True,worldcuisines
hainanese_chicken_rice,Hainanese chicken rice,Singaporean,rice,"[""Singapore"",""Indonesia"",""Thailand"",""Malaysia"",""Vietnam"",""Cambodia""]",South Eastern Asia,"The dish is poached chicken served with seasoned rice, accompanied by chili sauce and usually garnished with cucumber.","['chicken', 'chili', 'cucumber', 'garlic', 'ginger', 'lettuce', 'lime', 'onion', 'pepper', 'rice', 'salt', 'soy_sauce', 'tomato']",13,True,worldcuisines
hoppin_john,Hoppin' John,American,rice,"[""United States""]",Northern America,"The dish is made with cowpeas, mainly, black-eyed peas and Sea Island red peas in the Sea Islands and iron and clay peas in the Southeast US, and rice, chopped onion, and sliced bacon, seasoned with salt. Some recipes use ham hock, fatback, country sausage, or smoked turkey parts instead of bacon. A few use green peppers or vinegar and spices.","['bacon', 'celery', 'chicken', 'chili', 'garlic', 'onion', 'pepper', 'rice', 'salt', 'sausage', 'turkey', 'vinegar']",12,True,worldcuisines
horchata,Horchata,Spanish,beverages,"[""Spain""]",Southern Europe,"The dish is a beverage, generally plant-based but sometimes containing milk. It is made with soaked, ground, and sweetened tiger nuts. In some regions, the base is jicaro, melon or sesame seeds, or white rice, along with other spices.","['milk', 'rice', 'sesame_seed', 'sugar']",4,True,worldcuisines
hsi_htamin,Hsi htamin,Burmese,rice,"[""Myanmar""]",South Eastern Asia,"The dish consists of glutinous rice cooked with turmeric, salt, and onions, and served with roasted sesame seeds and fried onions, which renders a golden hue to the rice.","['rice', 'salt', 'sesame_seed', 'turmeric']",4,False,worldcuisines
htaman,Htamanè,Burmese,rice,"[""Myanmar""]",South Eastern Asia,"The dish is a glutinous rice-based savory snack, mixed with toasted sesame seeds, peanut, fried ginger, ground nut oil and fried coconut shavings.","['coconut', 'ginger', 'peanut', 'rice', 'sesame_seed', 'vegetable_oil']",6,False,worldcuisines
htamin_jin,Htamin jin,Burmese,rice,"[""Myanmar""]",South Eastern Asia,"The dish consists of either fresh or fermented rice, kneaded with boiled fish, fresh tomato paste, mashed boiled potatoes and garlic garnish.","['fish', 'garlic', 'rice', 'tomato', 'vegetable_oil']",5,False,worldcuisines
kiribath,Kiribath,Sri Lankan,rice,"[""Sri Lanka""]",Southern Asia,"The dish is made form rice and coconut milk. The rice is cooked in coconut milk, sometimes with added ingredients such as sesame seeds or cashew. This dish is commonly compressed and cut into diamond or square shaped blocks before serving.","['cashew', 'coconut', 'coconut_milk', 'milk', 'rice', 'sesame_seed']",6,False,worldcuisines
rijsttafel,Rijsttafel,Indonesian,side dish,"[""Indonesia"", ""Netherlands"", ""Belgium""]",Western Europe,"The dish consists of many side dishes served in small portions, accompanied by rice prepared in several different ways. Popular side dishes include egg rolls, sambals, satay, fish, fruit, Vegetable, pickles, and nuts.","['egg', 'fish', 'rice']",3,False,worldcuisines
jambalaya,Jambalaya,American,rice,"[""United States"",""Senegal""]",Western Africa,"The dish consisting mainly of meat or seafood (or both), and vegetable mixed with rice and spices.","['celery', 'chicken', 'garlic', 'onion', 'peanut', 'pepper', 'rice', 'salt', 'sausage', 'tomato']",10,True,worldcuisines
jiuniang,Jiuniang,Chinese,rice,"[""China""]",Eastern Asia,"The dish consists of a mixture of partially digested rice grains floating in a sweet saccharified liquid, with small amounts of alcohol and lactic acid. It is made by fermenting glutinous rice with a starter called jiuqu containing Rhizopus oryzae or Aspergillus oryzae and often yeast and bacteria. ",['rice'],1,False,worldcuisines
jhalmuri,Jhalmuri,Bangladeshi,rice,"[""Bangladesh"", ""India""]",Southern Asia,"The dish is a popular street snack, made of puffed rice and an assortment of Indian spices, Vegetable, Bombay mix and mustard oil..","['rice', 'vegetable_oil']",2,False,worldcuisines
juk,Juk,Korean,rice,"[""Korea""]",Eastern Asia,"The dish is made by boiling rice or other grains or legumes, such as beans, sesame, nuts, and pumpkin. It is often eaten warm, especially as a morning meal, but is now eaten at any time of the day.","['rice', 'sesame_seed', 'vegetable_oil']",3,False,worldcuisines
kabuli_pulao,Kabuli pulao,Afghan,rice,"[""Afghanistan""]",Southern Asia,"The dish core ingredients are steamed rice mixed with caramelized carrots and dry raisins as well as marinated lamb meat. Qabeli palaw is commonly garnished with almonds and pistachios. Saffron may be added to either the rice, the sauce or the garnishes.","['lamb', 'rice']",2,False,worldcuisines
