dish_id,ingredients_json,n_ingredients,cook_method,total_grams,calories_approx,protein_g_approx
dal_makhani,"[{""name"": ""black_bean"", ""grams"": 100}, {""name"": ""lentil"", ""grams"": 50}, {""name"": ""butter"", ""grams"": 30}, {""name"": ""cream"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 60}, {""name"": ""tomato"", ""grams"": 80}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""cumin"", ""grams"": 2}, {""name"": ""turmeric"", ""grams"": 1}, {""name"": ""salt"", ""grams"": 3}]",12,braise,401.0,520,22.0
arrs_negre,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""squid"", ""grams"": 100}, {""name"": ""shrimp"", ""grams"": 80}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""olive_oil"", ""grams"": 15}, {""name"": ""fish"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 40}, {""name"": ""tomato"", ""grams"": 30}]",8,braise,475.0,520,32.0
aligue_fried_rice,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""crab"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 15}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""black_pepper"", ""grams"": 2}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""butter"", ""grams"": 10}, {""name"": ""shrimp"", ""grams"": 40}, {""name"": ""squid"", ""grams"": 30}]",9,fry,380.0,420,22.0
nasi_campur,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 80}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""cabbage"", ""grams"": 40}, {""name"": ""shrimp"", ""grams"": 30}, {""name"": ""peanut"", ""grams"": 20}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""coconut_oil"", ""grams"": 15}]",9,fry,400.0,520,28.0
yin_yang_fried_rice,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""tomato_sauce"", ""grams"": 50}, {""name"": ""butter"", ""grams"": 15}, {""name"": ""wheat_flour"", ""grams"": 10}, {""name"": ""milk"", ""grams"": 60}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""black_pepper"", ""grams"": 1}]",11,fry,383.0,520,18.0
omurice,"[{""name"": ""egg"", ""grams"": 100}, {""name"": ""rice"", ""grams"": 150}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""chicken"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 20}, {""name"": ""pepper"", ""grams"": 15}, {""name"": ""ketchup"", ""grams"": 30}, {""name"": ""butter"", ""grams"": 10}, {""name"": ""soy_sauce"", ""grams"": 5}]",9,fry,410.0,450,25.0
akki_rotti,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""coriander"", ""grams"": 5}, {""name"": ""cumin"", ""grams"": 2}, {""name"": ""salt"", ""grams"": 2}]",5,fry,199.0,350,6.0
akhni,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 120}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""tomato"", ""grams"": 60}, {""name"": ""coconut_milk"", ""grams"": 100}, {""name"": ""coriander"", ""grams"": 5}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 15}]",11,braise,525.0,620,32.0
khao_phat,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 40}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""tomato"", ""grams"": 30}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""sugar"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""fish_sauce"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 15}]",11,fry,427.0,520,32.0
appam,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 150}, {""name"": ""sugar"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 2}]",4,fry,265.0,380,6.0
sinangag,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""garlic"", ""grams"": 15}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""black_pepper"", ""grams"": 1}]",6,fry,264.0,320,5.0
chahan,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""mushroom"", ""grams"": 30}, {""name"": ""tofu"", ""grams"": 50}, {""name"": ""pork"", ""grams"": 40}, {""name"": ""shrimp"", ""grams"": 30}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 10}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""oyster_sauce"", ""grams"": 10}]",12,fry,425.0,520,28.0
aremarem,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""coconut_milk"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 40}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""chicken"", ""grams"": 60}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 10}]",8,steam,353.0,420,22.0
ampaw,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""vegetable_oil"", ""grams"": 50}, {""name"": ""sugar"", ""grams"": 80}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""butter"", ""grams"": 15}, {""name"": ""vinegar"", ""grams"": 10}]",6,deep_fry,357.0,520,4.0
arroz_con_maiz,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""corn"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 5}]",6,boil,330.0,420,8.0
nasi_uduk,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""coconut_milk"", ""grams"": 100}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""lemon"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 2}]",6,steam,272.0,350,6.0
baghali_polo,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""soybean"", ""grams"": 100}, {""name"": ""basil"", ""grams"": 15}, {""name"": ""butter"", ""grams"": 20}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""turmeric"", ""grams"": 2}]",6,bake,342.0,480,18.0
arroz_de_lisa,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""fish"", ""grams"": 120}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""tomato"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""coriander"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""black_pepper"", ""grams"": 1}, {""name"": ""avocado"", ""grams"": 100}]",10,boil,504.0,620,28.0
hokkien_fried_rice,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""mushroom"", ""grams"": 30}, {""name"": ""pork"", ""grams"": 40}, {""name"": ""cabbage"", ""grams"": 20}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""oyster_sauce"", ""grams"": 8}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 15}]",9,fry,328.0,420,22.0
java_rice,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 80}, {""name"": ""pork"", ""grams"": 60}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""peanut"", ""grams"": 20}, {""name"": ""shrimp"", ""grams"": 30}, {""name"": ""carrot"", ""grams"": 30}, {""name"": ""cabbage"", ""grams"": 25}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""soy_sauce"", ""grams"": 10}]",10,fry,460.0,520,32.0
bannu_pulao,"[{""name"": ""beef"", ""grams"": 200}, {""name"": ""rice"", ""grams"": 150}, {""name"": ""onion"", ""grams"": 80}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 15}, {""name"": ""lemon"", ""grams"": 30}, {""name"": ""butter"", ""grams"": 25}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""black_pepper"", ""grams"": 2}, {""name"": ""cumin"", ""grams"": 3}]",11,braise,530.0,650,35.0
yangzhou_fried_rice,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""pork"", ""grams"": 60}, {""name"": ""shrimp"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 30}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 10}]",9,fry,415.0,520,32.0
bhakri,"[{""name"": ""wheat_flour"", ""grams"": 120}, {""name"": ""salt"", ""grams"": 2}]",2,bake,182.0,400,12.0
arroz_chaufa,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""vegetable_oil"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 5}]",7,fry,360.0,420,28.0
arroz_caldoso,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""chicken"", ""grams"": 80}, {""name"": ""shrimp"", ""grams"": 60}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""tomato"", ""grams"": 75}, {""name"": ""olive_oil"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""black_pepper"", ""grams"": 2}]",9,braise,397.0,420,28.0
biko,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""coconut_milk"", ""grams"": 200}, {""name"": ""sugar"", ""grams"": 80}, {""name"": ""coconut"", ""grams"": 30}]",4,steam,460.0,680,8.0
binignit,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 200}, {""name"": ""banana"", ""grams"": 80}, {""name"": ""sweet_potato"", ""grams"": 70}, {""name"": ""sugar"", ""grams"": 30}, {""name"": ""coconut"", ""grams"": 20}]",6,boil,500.0,520,8.0
bhel_puri,"[{""name"": ""rice"", ""grams"": 40}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""coriander"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""sugar"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""lemon"", ""grams"": 10}, {""name"": ""tomato"", ""grams"": 30}]",8,no_cook,152.0,180,3.0
arroz_con_huevo_frito,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""vegetable_oil"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 5}]",6,fry,247.0,320,12.0
arroz_con_gandules,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""sausage"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""tomato"", ""grams"": 40}, {""name"": ""chickpea"", ""grams"": 60}, {""name"": ""olive_oil"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 5}]",9,braise,460.0,650,35.0
balaobalao,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""shrimp"", ""grams"": 100}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 20}, {""name"": ""vegetable_oil"", ""grams"": 15}]",6,ferment,300.0,320,18.0
baye_baye,"[{""name"": ""coconut"", ""grams"": 100}, {""name"": ""rice"", ""grams"": 150}, {""name"": ""corn"", ""grams"": 50}, {""name"": ""salt"", ""grams"": 2}]",4,no_cook,302.0,400,6.0
bubur_ayam,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""chicken"", ""grams"": 80}, {""name"": ""celery"", ""grams"": 15}, {""name"": ""soybean"", ""grams"": 20}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 15}]",10,boil,263.0,320,18.0
bibingka,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 150}, {""name"": ""sugar"", ""grams"": 60}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""butter"", ""grams"": 30}, {""name"": ""coconut"", ""grams"": 20}]",6,bake,410.0,520,12.0
bisi_bele_bath,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""lentil"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""carrot"", ""grams"": 40}, {""name"": ""potato"", ""grams"": 40}, {""name"": ""butter"", ""grams"": 15}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""chili"", ""grams"": 3}, {""name"": ""coriander"", ""grams"": 5}, {""name"": ""curry_paste"", ""grams"": 20}]",10,boil,365.0,420,14.0
pe_htaw_bhut_htamin,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""chicken"", ""grams"": 150}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 5}, {""name"": ""coconut_milk"", ""grams"": 100}, {""name"": ""salt"", ""grams"": 5}]",8,boil,530.0,650,35.0
bnh_chng,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""pork"", ""grams"": 100}, {""name"": ""soybean"", ""grams"": 80}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""black_pepper"", ""grams"": 2}, {""name"": ""salt"", ""grams"": 5}]",6,steam,417.0,650,28.0
chazuke,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""tea"", ""grams"": 200}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""sesame_seed"", ""grams"": 5}, {""name"": ""soy_sauce"", ""grams"": 10}]",5,no_cook,367.0,200,4.0
bahon,"[{""name"": ""sweet_potato"", ""grams"": 100}, {""name"": ""wheat_flour"", ""grams"": 50}, {""name"": ""pork"", ""grams"": 80}, {""name"": ""shrimp"", ""grams"": 50}, {""name"": ""bamboo_shoot"", ""grams"": 30}, {""name"": ""mushroom"", ""grams"": 20}, {""name"": ""soy_sauce"", ""grams"": 10}, {""name"": ""sesame_oil"", ""grams"": 5}, {""name"": ""sugar"", ""grams"": 15}, {""name"": ""vinegar"", ""grams"": 10}]",10,steam,370.0,420,28.0
chelow,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""butter"", ""grams"": 30}, {""name"": ""yogurt"", ""grams"": 50}]",4,steam,285.5,780,12.0
ginataang_mais,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""corn"", ""grams"": 80}, {""name"": ""coconut_milk"", ""grams"": 150}, {""name"": ""sugar"", ""grams"": 20}]",4,boil,350.0,450,8.0
hoppin_john,"[{""name"": ""black_bean"", ""grams"": 150}, {""name"": ""rice"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""bacon"", ""grams"": 40}, {""name"": ""salt"", ""grams"": 2}]",5,braise,342.0,420,18.0
lemang,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""coconut_milk"", ""grams"": 150}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""banana"", ""grams"": 50}]",4,steam,403.0,520,8.0
jiuniang,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""sugar"", ""grams"": 30}]",2,ferment,335.0,280,5.0
champorado,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""chocolate"", ""grams"": 40}, {""name"": ""sugar"", ""grams"": 30}, {""name"": ""milk"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 50}]",5,boil,320.0,420,8.0
ketupat,"[{""name"": ""rice"", ""grams"": 200}, {""name"": ""salt"", ""grams"": 2}]",2,boil,602.0,260,4.0
khao_khluk_kapi,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""shrimp"", ""grams"": 80}, {""name"": ""cucumber"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""mango"", ""grams"": 40}, {""name"": ""chili"", ""grams"": 10}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""garlic"", ""grams"": 5}]",8,fry,380.0,420,22.0
htaman,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""sesame_seed"", ""grams"": 20}, {""name"": ""peanut"", ""grams"": 30}, {""name"": ""ginger"", ""grams"": 15}, {""name"": ""coconut"", ""grams"": 25}, {""name"": ""vegetable_oil"", ""grams"": 10}]",6,fry,250.0,420,8.0
burong_isda,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""fish"", ""grams"": 100}, {""name"": ""salt"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 15}, {""name"": ""ginger"", ""grams"": 10}]",5,ferment,285.0,320,22.0
puffed_rice,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 2}]",3,deep_fry,117.0,420,7.0
dodol,"[{""name"": ""coconut_milk"", ""grams"": 200}, {""name"": ""sugar"", ""grams"": 150}, {""name"": ""rice"", ""grams"": 100}, {""name"": ""butter"", ""grams"": 20}]",4,braise,470.0,650,5.0
nasi_kuning,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""coconut_milk"", ""grams"": 100}, {""name"": ""turmeric"", ""grams"": 5}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""lemon"", ""grams"": 20}]",7,steam,318.0,420,8.0
lemper,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""coconut_milk"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""onion"", ""grams"": 20}, {""name"": ""salt"", ""grams"": 2}, {""name"": ""sugar"", ""grams"": 5}, {""name"": ""coconut_oil"", ""grams"": 10}]",8,steam,342.0,480,28.0
jaynagarer_moa,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""sugar"", ""grams"": 80}, {""name"": ""coconut"", ""grams"": 40}, {""name"": ""cashew"", ""grams"": 20}]",4,no_cook,242.0,380,5.0
mont_lin_maya,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""egg"", ""grams"": 40}, {""name"": ""chickpea"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""vegetable_oil"", ""grams"": 20}]",5,fry,240.0,380,12.0
bokkeumbap,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""sesame_oil"", ""grams"": 10}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""sesame_seed"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 5}]",6,fry,188.0,280,6.0
chiayi_turkey_rice,"[{""name"": ""turkey"", ""grams"": 100}, {""name"": ""rice"", ""grams"": 150}, {""name"": ""soy_sauce"", ""grams"": 15}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 10}, {""name"": ""cucumber"", ""grams"": 40}]",7,braise,350.0,420,28.0
koshary,"[{""name"": ""rice"", ""grams"": 80}, {""name"": ""pasta_dry"", ""grams"": 60}, {""name"": ""lentil"", ""grams"": 50}, {""name"": ""chickpea"", ""grams"": 40}, {""name"": ""tomato_sauce"", ""grams"": 70}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""vinegar"", ""grams"": 15}, {""name"": ""vegetable_oil"", ""grams"": 20}]",9,fry,375.0,520,18.0
moche,"[{""name"": ""rice"", ""grams"": 100}, {""name"": ""sugar"", ""grams"": 40}, {""name"": ""coconut"", ""grams"": 30}, {""name"": ""sesame_seed"", ""grams"": 10}, {""name"": ""peanut"", ""grams"": 15}]",5,boil,245.0,420,8.0
boudin,"[{""name"": ""pork"", ""grams"": 200}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""spinach"", ""grams"": 30}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""black_pepper"", ""grams"": 2}, {""name"": ""garlic"", ""grams"": 10}]",6,boil,297.0,380,28.0
kharcho,"[{""name"": ""beef"", ""grams"": 200}, {""name"": ""rice"", ""grams"": 80}, {""name"": ""tomato_sauce"", ""grams"": 100}, {""name"": ""walnut"", ""grams"": 30}, {""name"": ""coriander"", ""grams"": 10}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""black_pepper"", ""grams"": 2}, {""name"": ""salt"", ""grams"": 5}]",9,boil,487.0,520,32.0
nasi_bakar,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""coconut_milk"", ""grams"": 50}, {""name"": ""chicken"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""vegetable_oil"", ""grams"": 10}]",9,grill,360.0,520,28.0
gallo_pinto,"[{""name"": ""rice"", ""grams"": 150}, {""name"": ""black_bean"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""coriander"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 3}]",7,saute,393.0,420,12.0
