dish_id,name,primary_cuisine,E_composite,E_carbon,E_water,E_energy,E_land,log_E,cook_method,n_ingredients,total_grams,source,H_mean,H_bert
coleslaw,coleslaw,American,0.009107365112425195,0.2035,134.3,0.0,,-4.69867183979511,unknown,,,original,2.6572,6.704
com_tam,com_tam,Vietnamese,0.2520199703272679,2.3265,1381.5,0.6,,-1.3782469472801893,unknown,,,original,8.6516,6.941
conch_fritters,conch_fritters,Caribbean,0.2743413954123239,1.4340000000000002,514.78,1.0,,-1.293381979510738,deep_fry,,,expanded,5.7087,7.1416
congee,congee,Chinese,0.12917613907319195,0.9255,456.8,0.4,,-2.0465783867855114,unknown,,,original,2.4568,6.984
coq_au_vin,coq_au_vin,French,0.39218761148284403,2.7775,1371.8,1.2,,-0.9360149529629295,unknown,,,original,8.3333,7.166
coquito,coquito,Caribbean,0.04401848868526561,0.7460000000000001,568.41,0.0,,-3.1231455359296767,cold,,,expanded,4.3571,7.5858
cornbread,cornbread,American,0.2225157112566609,1.1525,468.8,0.8,,-1.5027575674792923,unknown,,,original,3.9581,6.978
couscous,couscous,African,0.10426149953564605,0.5565,513.1600000000001,0.3,,-2.2608531170902637,steam,,,expanded,6.5556,7.3683
coxinha,coxinha,South American,0.30314931896002034,1.794,897.07,1.0,,-1.1935297930114686,deep_fry,,,expanded,4.3571,7.3626
creme_brulee,creme_brulee,French,0.2550650803455712,2.0055,778.2,0.8,,-1.3662365493445843,unknown,,,original,9.1606,7.324
crepe,crepe,French,0.15551793573493655,1.1025,477.0,0.5,,-1.8609942116674063,unknown,,,original,8.3893,7.239
croissant,croissant,French,0.23458198970808677,1.4301,594.1,0.8,,-1.4499501159225043,unknown,,,original,6.8396,7.299
croquetas,croquetas,Spanish,0.2896241133163699,1.6470000000000002,711.54,1.0,,-1.2391713577228636,deep_fry,,,expanded,4.9488,7.3931
cubano_sandwich,cubano_sandwich,Caribbean,0.19009028884527335,1.7095,887.74,0.5,,-1.6602561152467206,pan_fry,,,expanded,6.1523,7.5295
currywurst,currywurst,German,0.20440202723074083,1.502,812.6,0.6,,-1.5876665027431558,grill,,,expanded,7.9826,7.5586
dakgalbi,dakgalbi,Korean,0.19360672656677946,1.7065,947.295,0.5,,-1.6419263600801253,stir_fry,,,expanded,8.1087,7.0979
dal,dal,Indian,0.1347285227310023,0.4209,688.1,0.4,,-2.0044934679371345,unknown,,,original,7.9892,6.929
dan_dan_noodles,dan_dan_noodles,Chinese,0.15400726341873447,1.0465,838.3,0.4,,-1.870755512624027,unknown,,,original,10.0,7.243
dan_tat,dan_tat,Chinese,0.2314866485891914,1.356,562.75,0.8,,-1.4632330805998421,bake,,,expanded,7.5688,7.3389
dim_sum,dim_sum,Chinese,0.1275782632685264,1.358,682.5,0.3,,-2.05902527314289,unknown,,,original,4.1359,6.977
dim_sum_items,dim_sum_items,Chinese,0.12972014751817915,1.5065000000000002,677.495,0.3,,-2.0423758603390785,steam,,,expanded,3.6628,6.852
dolma,dolma,Mediterranean,0.13146444689970976,0.7515,542.8,0.4,,-2.0290188297014096,unknown,,,original,6.8883,7.407
donburi,donburi,Japanese,0.19745929395875642,2.2265,1240.0,0.4,,-1.622222822421774,unknown,,,original,1.0407,6.081
doner_kebab,doner_kebab,Turkish,0.34644949599925456,4.206999999999999,1699.9550000000002,0.8,,-1.0600182256673325,roast,,,expanded,7.4181,7.3078
doro_wot,doro_wot,African,0.19889876518116759,2.228,1263.63,0.4,,-1.6149593013809609,simmer,,,expanded,7.9826,7.3599
dosa,dosa,Indian,0.14853786895627238,0.6816,476.0,0.5,,-1.9069153434423087,unknown,,,original,1.3336,6.872
duck_confit,duck_confit,French,0.37734274399143647,2.576,1179.195,1.2,,-0.974601369291479,slow_cook,,,expanded,7.2606,7.6052
dumplings,dumplings,Chinese,0.13206972481482226,1.066,837.7,0.3,,-2.0244252775598337,unknown,,,original,7.9968,7.08
eclair,eclair,French,0.2595021508372673,1.804,907.64,0.8,,-1.3489902880203022,bake,,,expanded,3.2587,7.2581
edamame,edamame,Japanese,0.11416385246643346,0.5004,322.8,0.4,,-2.1701205601808313,unknown,,,original,7.9892,7.174
eggplant_parm,eggplant_parm,Italian,0.2620672455398804,2.265,823.89,0.8,,-1.3391541457872347,bake,,,expanded,5.9359,7.0995
eggs_benedict,eggs_benedict,American,0.1539955801562162,1.2735,775.7699999999999,0.4,,-1.8708313772646794,boil,,,expanded,5.9359,7.3117
egusi_soup,egusi_soup,African,0.13497021171171342,1.103,504.83,0.4,,-2.0027011788786884,simmer,,,expanded,8.5603,7.3211
elote,elote,Mexican,0.16894575214253357,0.903,384.9,0.6,,-1.7781776088278671,unknown,,,original,9.5986,7.372
enchilada,enchilada,Mexican,0.26646174512088844,2.3305,879.3,0.8,,-1.3225245911924948,unknown,,,original,5.2029,6.83
escargot,escargot,French,0.21673122805308784,0.962,424.5,0.8,,-1.5290972735168487,unknown,,,original,8.1233,7.185
escovitch_fish,escovitch_fish,Caribbean,0.2772191068991664,1.7910000000000004,464.81000000000006,1.0,,-1.2829470858341576,deep_fry,,,expanded,6.1523,7.3597
fajita,fajita,Mexican,0.20714703236919152,1.6045,830.3,0.6,,-1.5743264365609027,unknown,,,original,1.0,6.671
falafel,falafel,Mediterranean,0.2855842176983226,0.8195,871.3,1.0,,-1.2532183102035415,unknown,,,original,4.9737,7.341
fattoush,fattoush,Lebanese,0.01987027804399363,0.27,295.8,0.0,,-3.918530229361125,cold,,,expanded,8.6612,7.5472
feijoada,feijoada,South American,0.2412010494868598,2.0995,2005.445,0.4,,-1.4221244630321888,simmer,,,expanded,3.6628,7.3838
fesenjan,fesenjan,Persian,0.21792477775082028,1.874,1678.61,0.4,,-1.5236053319275307,simmer,,,expanded,6.9238,7.5372
fish_and_chips,fish_and_chips,Other,0.30049524919590775,2.0975,769.4,1.0,,-1.2023233347960494,unknown,,,original,2.9929,6.801
fish_tacos,fish_tacos,Mexican,0.14530299761929208,1.043,322.73,0.5,,-1.9289340780661115,pan_fry,,,expanded,6.3586,7.1794
focaccia,focaccia,Italian,0.21734638853900853,0.6929000000000001,508.67,0.8,,-1.5262629375629586,bake,,,expanded,3.6628,7.362
fondue,fondue,Swiss,0.20052495641556156,3.549,928.04,0.4,,-1.6068165690808165,simmer,,,expanded,2.798,7.4177
french_fries,french_fries,American,0.2421183728577367,0.6991,178.4,1.0,,-1.4183285283771654,unknown,,,original,4.4255,6.585
french_onion_soup,french_onion_soup,French,0.23239246181485926,4.4295,1218.5,0.4,,-1.4593276907832047,unknown,,,original,8.8056,7.065
fresh_spring_roll,fresh_spring_roll,Vietnamese,0.039087119016548766,1.0375,406.0,0.0,,-3.2419623031839904,unknown,,,original,7.1621,7.119
fried_chicken,fried_chicken,American,0.3506808353810657,2.6084,1467.3,1.0,,-1.04787877008977,unknown,,,original,3.9581,7.048
fried_rice,fried_rice,Chinese,0.18121118590399035,1.509,794.5,0.5,,-1.7080921549166443,unknown,,,original,3.1966,6.66
fufu,fufu,African,0.09630891470335529,0.315,75.5,0.4,,-2.340194392257456,boil,,,expanded,4.0401,7.1556
ful_medames,ful_medames,African,0.15499813391530848,0.475,1011.785,0.4,,-1.8643422013914372,simmer,,,expanded,4.3571,7.1423
gado_gado,gado_gado,Indonesian,0.031605190710885724,0.521,422.87,0.0,,-3.4544339088762475,cold,,,expanded,7.8508,7.2841
galaktoboureko,galaktoboureko,Greek,0.24264512190273857,1.6639999999999997,664.54,0.8,,-1.416155306762873,bake,,,expanded,8.1087,7.5847
galette,galette,French,0.17385799993835227,1.6529999999999998,632.145,0.5,,-1.7495164052605414,pan_fry,,,expanded,5.2167,7.6479
gambas_al_ajillo,gambas_al_ajillo,Spanish,0.23429471440966573,2.8985,1299.535,0.5,,-1.4511754927938423,saute,,,expanded,6.9238,7.2997
gazpacho,gazpacho,Spanish,0.029335786160486446,0.668,344.6,0.0,,-3.5289471375604307,unknown,,,original,9.1606,7.436
gelato,gelato,Italian,0.04779727455507976,1.2235,500.4,0.0,,-3.040786658786452,unknown,,,original,8.9939,7.564
general_tso,general_tso,Chinese,0.3342690862850648,2.3185,1272.8,1.0,,-1.0958089628051564,unknown,,,original,6.4054,6.649
ghormeh_sabzi,ghormeh_sabzi,Persian,0.3959762641533124,3.1170000000000004,1341.8499999999997,1.2,,-0.9264010085308575,braise,,,expanded,7.7129,7.0615
gnocchi,gnocchi,Italian,0.13413712402806158,1.189,467.3,0.4,,-2.0088926886174594,unknown,,,original,8.9517,7.211
gozleme,gozleme,Turkish,0.15947489041312565,1.3955,462.63,0.5,,-1.8358687960271045,pan_fry,,,expanded,6.9238,7.8291
green_curry,green_curry,Thai,0.2167594920083247,2.321,1536.4,0.4,,-1.5289668718543958,unknown,,,original,4.6754,7.287
grilled_cheese,grilled_cheese,American,0.16927683964586582,1.7955,516.5,0.5,,-1.7762197998752667,unknown,,,original,7.4912,7.194
guacamole,guacamole,Mexican,0.02506123490277452,0.4681,328.1,0.0,,-3.686433052884173,unknown,,,original,8.4333,6.93
gulab_jamun,gulab_jamun,Indian,0.26802959283937616,1.2995,446.295,1.0,,-1.3166578835247866,deep_fry,,,expanded,6.5556,7.2487
gyro,gyro,Mediterranean,0.3485696655736774,4.2615,1720.4,0.8,,-1.0539171675434271,unknown,,,original,6.5518,7.158
gyudon,gyudon,Japanese,0.3307188280211206,7.163,2110.11,0.4,,-1.106486726774356,simmer,,,expanded,5.2167,7.0105
halloumi,halloumi,Lebanese,0.24312946225700768,3.525,903.9,0.6,,-1.4141612110215247,grill,,,expanded,8.4884,7.692
halo_halo,halo_halo,Filipino,0.028368958415517176,0.6815000000000001,324.745,0.0,,-3.562459745128025,cold,,,expanded,3.2587,7.4075
hamburger,hamburger,American,0.44798858480411236,9.981,2552.6,0.6,,-0.802987527239745,unknown,,,original,3.8876,6.712
harissa,harissa,African,0.029092715046854404,0.277,447.91,0.0,,-3.5372674781779825,raw,,,expanded,6.9238,7.5812
horiatiki,horiatiki,Greek,0.050918495264609315,1.229,551.02,0.0,,-2.9775290566995363,cold,,,expanded,6.1523,7.3264
hot_and_sour_soup,hot_and_sour_soup,Chinese,0.12249707114129656,0.713,403.6,0.4,,-2.0996681583338215,unknown,,,original,4.1637,6.726
hot_dog,hot_dog,American,0.1775397501602299,0.9695,510.175,0.6,,-1.728560750573832,grill,,,expanded,6.5556,7.0579
hu_tieu,hu_tieu,Vietnamese,0.17075040511443743,1.8215,905.125,0.4,,-1.7675524079751215,boil,,,expanded,2.798,6.9639
hummus,hummus,Mediterranean,0.06921741492937909,0.2991,1112.0,0.0,,-2.67050278719061,unknown,,,original,7.6735,7.347
ice_cream,ice_cream,Other,0.061957621026852705,1.5265,653.7,0.0,,-2.781304659476387,unknown,,,original,6.2072,7.338
idli,idli,Indian,0.10743975099911944,0.6375,544.0,0.3,,-2.230825044350635,steam,,,expanded,2.8199,6.4518
injera,injera,African,0.13313264799350602,0.4775,274.75,0.5,,-2.016409294452142,pan_fry,,,expanded,6.5556,7.2875
iskender_kebab,iskender_kebab,Turkish,0.3118807005943269,4.378,1817.94,0.6,,-1.1651345341846393,grill,,,expanded,7.8508,7.5031
jalebi,jalebi,Indian,0.25987332066782054,0.979,398.08,1.0,,-1.347560994901528,deep_fry,,,expanded,5.7087,7.2048
japchae,japchae,Korean,0.24221295441572646,4.039,1118.6,0.5,,-1.4179379628536652,unknown,,,original,8.3452,7.318
jerk_chicken,jerk_chicken,Caribbean,0.23940163843737916,2.1505,1219.08,0.6,,-1.4296126419494402,grill,,,expanded,3.6628,6.7026
jjajangmyeon,jjajangmyeon,Korean,0.1818831502485486,1.2305,882.1999999999999,0.5,,-1.7043908296972703,stir_fry,,,expanded,7.4181,7.2121
jokbal,jokbal,Korean,0.3966386214913085,2.4115,1546.645,1.2,,-0.9247296861669362,braise,,,expanded,4.6633,6.7188
jollof_rice,jollof_rice,African,0.18576724536794442,2.1495,1065.865,0.4,,-1.6832607578744527,simmer,,,expanded,8.2292,7.3086
karaage,karaage,Japanese,0.3220245600563652,2.0965,1129.255,1.0,,-1.133127462879429,deep_fry,,,expanded,4.0257,7.2208
kare_kare,kare_kare,Filipino,0.3927485656375988,9.3995,2531.9750000000004,0.4,,-0.9345856539533968,simmer,,,expanded,4.9488,7.3561
katsu,katsu,Japanese,0.3413527801930773,2.1645,1433.4,1.0,,-1.0748387904518,unknown,,,original,7.6735,6.973
katsu_curry,katsu_curry,Japanese,0.3694428173573236,2.8080000000000003,1725.85,1.0,,-0.9957593073836905,deep_fry,,,expanded,5.2167,7.273
kebab,kebab,Mediterranean,0.35454485760458415,5.291,2279.8,0.6,,-1.0369204033435653,unknown,,,original,7.1849,7.286
keftedes,keftedes,Greek,0.4283306913393432,9.492,2729.71,0.5,,-0.8478597384193036,pan_fry,,,expanded,4.6633,7.4303
khao_man_gai,khao_man_gai,Thai,0.21216927409537326,2.5045,1409.345,0.4,,-1.5503708601978694,boil,,,expanded,5.2167,6.973
kibbeh,kibbeh,Lebanese,0.37391627275435435,3.626,1575.9399999999998,1.0,,-0.9837233762709174,deep_fry,,,expanded,7.7129,7.6081
kimbap,kimbap,Korean,0.10152320134921076,2.6715,1000.1,0.0,,-2.2874679219005136,unknown,,,original,8.3893,7.307
kimchi,kimchi,Korean,0.007309167094925281,0.1615,115.8,0.0,,-4.918625952214859,unknown,,,original,3.7433,7.178
kimchi_jjigae,kimchi_jjigae,Korean,0.15187923720672078,1.121,782.3,0.4,,-1.884669565972991,unknown,,,original,3.9581,6.817
kitfo,kitfo,African,0.39669803663938713,12.36,3269.59,0.0,,-0.9245799007068021,raw,,,expanded,6.1523,7.5087
kofte,kofte,Turkish,0.42780852125011987,9.3335,2393.36,0.6,,-0.8490795637614742,grill,,,expanded,4.9488,7.2882
koobideh,koobideh,Persian,0.5201654082671423,12.3104,3118.4300000000003,0.6,,-0.653608425166032,grill,,,expanded,8.4548,7.2432
korean_fried_chicken,korean_fried_chicken,Korean,0.3486372798433853,2.5675,1444.4,1.0,,-1.0537232100094,unknown,,,original,4.6144,6.228
korma,korma,Indian,0.2071090090511665,2.2049,1407.1,0.4,,-1.5745100105553889,unknown,,,original,8.4066,7.243
kunefe,kunefe,Turkish,0.2624828762779739,2.613,735.27,0.8,,-1.3375694323050042,bake,,,expanded,8.4548,7.7086
kung_pao_chicken,kung_pao_chicken,Chinese,0.20766359327450132,1.9045,1127.7,0.5,,-1.571835848613555,unknown,,,original,4.6754,6.489
labneh,labneh,Lebanese,0.03805507566002216,0.7909,456.48,0.0,,-3.2687208090891664,cold,,,expanded,6.1523,7.7099
lagman,lagman,Central Asian,0.2015970223558229,2.6095,1203.9349999999995,0.4,,-1.6014845129544042,boil,,,expanded,5.9359,7.6892
lahmacun,lahmacun,Turkish,0.34843662583714136,5.4125,1402.11,0.8,,-1.05429891370495,bake,,,expanded,7.9826,7.7783
laksa,laksa,Indonesian,0.17082801252322463,1.8185,907.245,0.4,,-1.767098003328251,simmer,,,expanded,6.1523,7.3046
larb,larb,Thai,0.19195756409482465,1.4525,989.5,0.5,,-1.6504809517224053,unknown,,,original,8.3075,7.071
lasagna,lasagna,Italian,0.4922208149515576,9.715,2622.1,0.8,,-0.7088278522981564,unknown,,,original,6.4539,6.885
lo_mein,lo_mein,Chinese,0.174174446891364,1.199,762.1,0.5,,-1.7476979136624191,unknown,,,original,2.3516,6.505
lobster_roll,lobster_roll,American,0.17207053534167627,2.36,779.3,0.4,,-1.7598507970364845,unknown,,,original,8.8667,7.177
lomo_saltado,lomo_saltado,South American,0.43250957523147354,9.9005,2687.33,0.5,,-0.8381508135917503,stir_fry,,,expanded,7.7129,7.2693
loukoumades,loukoumades,Greek,0.2621118842308053,0.933,448.1,1.0,,-1.3389838273273895,deep_fry,,,expanded,7.0959,7.7733
lumpia,lumpia,Filipino,0.2721089574614996,1.109,566.74,1.0,,-1.3015527139938765,deep_fry,,,expanded,3.8468,7.2598
mac_and_cheese,mac_and_cheese,American,0.2714325629440021,2.8415,822.0,0.8,,-1.304041557407879,unknown,,,original,6.1067,6.986
macarons,macarons,French,0.2743220111169746,1.2000000000000002,1321.0199999999998,0.8,,-1.293452639573453,bake,,,expanded,7.2606,7.4965
mafe,mafe,African,0.17026247235451386,1.6499999999999997,944.07,0.4,,-1.770414077578479,simmer,,,expanded,5.7087,7.036
malai_kofta,malai_kofta,Indian,0.3331044507513366,3.16,1022.27,1.0,,-1.0992991722646337,deep_fry,,,expanded,8.1087,7.1975
manakish,manakish,Lebanese,0.22934831315577855,1.266,551.7499999999999,0.8,,-1.472513412856875,bake,,,expanded,7.4181,7.4129
mango_sticky_rice,mango_sticky_rice,Thai,0.13389119677415084,1.1553,843.6,0.3,,-2.0107277732248527,unknown,,,original,8.5646,7.382
manti_turkish,manti_turkish,Turkish,0.26380510877896995,5.378000000000001,1482.6900000000005,0.4,,-1.3325446727796582,boil,,,expanded,6.3586,7.6294
manty,manty,Central Asian,0.18577390300131327,2.8055000000000008,1256.99,0.3,,-1.683224919941568,steam,,,expanded,4.6633,7.4271
mapo_tofu,mapo_tofu,Chinese,0.18708605423937288,1.3605,933.4,0.5,,-1.6761865848810689,unknown,,,original,7.5825,6.879
massaman_curry,massaman_curry,Thai,0.4538996357202502,10.3715,3286.4,0.4,,-0.7898791720751169,unknown,,,original,8.7381,7.313
meatloaf,meatloaf,American,0.5783870566164118,12.624,3262.42,0.8,,-0.5475119862987393,bake,,,expanded,4.0257,7.2313
mee_goreng,mee_goreng,Indonesian,0.177935019827983,1.2715,804.9999999999999,0.5,,-1.726336852485796,stir_fry,,,expanded,3.6628,7.3103
minestrone,minestrone,Italian,0.11174461405812143,0.5215,276.6,0.4,,-2.191539242997847,unknown,,,original,2.753,6.638
miso_soup,miso_soup,Japanese,0.10393978171872982,0.4095,177.0,0.4,,-2.2639435694739922,unknown,,,original,3.5943,6.965
mofongo,mofongo,Caribbean,0.28859884870445135,1.216,812.77,1.0,,-1.2427176218933889,deep_fry,,,expanded,7.9826,7.1259
