ingredient,category,co2_per_kg,water_per_kg,land_per_kg,source
pork,meat,7.2,5988,17.4,Poore & Nemecek 2018 Table S2
sausage,meat,7.5,5200,15.0,Derived from pork/beef mix; Agribalyse 3.1
almond,nut,3.5,16194,4.2,Poore & Nemecek 2018; WFN
cashew,nut,3.0,14218,3.8,WFN; estimated
pine_nut,nut,3.0,10000,4.0,Estimated from tree nut averages
sesame_seed,nut,2.0,9371,5.0,WFN
walnut,nut,2.5,9063,3.5,WFN
coconut_oil,oil,4.5,5500,6.0,Derived from coconut; Agribalyse 3.1
olive_oil,oil,6.0,14430,26.3,Poore & Nemecek 2018 Table S2
palm_oil,oil,7.6,5000,2.4,Poore & Nemecek 2018
sesame_oil,oil,4.0,9371,14.0,WFN; estimated
vegetable_oil,oil,3.8,4000,11.0,Poore & Nemecek 2018 (rapeseed/soy blend)
chocolate,other,19.0,17196,68.8,Poore & Nemecek 2018 (dark chocolate)
honey,other,1.0,2000,1.0,Estimated; minimal LCA data available
maple_syrup,other,1.5,2000,0.5,Estimated; minimal LCA data available
chicken,poultry,6.9,4325,12.2,Poore & Nemecek 2018 Table S2
duck,poultry,8.0,4700,14.0,Estimated from poultry averages; Agribalyse 3.1
turkey,poultry,10.9,4500,12.5,Poore & Nemecek 2018; WFN
cod,seafood,5.4,1500,0.0,Poore & Nemecek 2018 (wild-caught)
crab,seafood,8.0,1800,0.0,Estimated from crustacean averages
fish,seafood,5.4,1500,3.7,Poore & Nemecek 2018 (average fish)
salmon,seafood,11.9,2000,5.1,Poore & Nemecek 2018 (farmed Atlantic)
shrimp,seafood,12.0,3515,2.9,Poore & Nemecek 2018 Table S2 (farmed)
squid,seafood,5.0,1200,0.0,Estimated from seafood averages
tuna,seafood,6.1,1800,0.0,Poore & Nemecek 2018 (wild-caught)
potato,starch,0.5,287,0.9,Poore & Nemecek 2018 Table S2
sweet_potato,starch,0.5,300,1.0,Similar to potato; WFN
bamboo_shoot,vegetable,0.3,200,0.1,Estimated; minimal inputs
bean_sprout,vegetable,0.3,200,0.1,Estimated from legume sprouts
broccoli,vegetable,0.9,285,0.5,Agribalyse 3.1
cabbage,vegetable,0.4,237,0.2,Agribalyse 3.1
carrot,vegetable,0.4,195,0.3,Poore & Nemecek 2018
celery,vegetable,0.4,280,0.2,Agribalyse 3.1
cucumber,vegetable,0.4,353,0.2,Agribalyse 3.1
eggplant,vegetable,0.8,362,0.3,Agribalyse 3.1
garlic,vegetable,0.9,589,0.6,Agribalyse 3.1
lettuce,vegetable,0.4,237,0.2,Agribalyse 3.1
mushroom,vegetable,1.0,150,0.1,Agribalyse 3.1
onion,vegetable,0.5,345,0.4,Poore & Nemecek 2018
pepper,vegetable,1.8,379,0.5,Agribalyse 3.1 (bell pepper)
spinach,vegetable,0.5,292,0.3,Agribalyse 3.1
tomato,vegetable,2.1,214,0.8,Poore & Nemecek 2018 Table S2
zucchini,vegetable,0.7,350,0.3,Agribalyse 3.1
pita,grain,1.3,1608,3.8,Poore & Nemecek 2018 (bread equivalent)
vanilla,condiment,3.0,15000,2.0,Agribalyse 3.1 (vanilla extract)
