Name,wc_id,primary_cuisine,primary_coarse,Cuisines,Countries,Region1,Text Description
Kabsa,kabsa,Saudi Arabian,rice,"[""Saudi Arabian"", ""Yemeni""]","[""Saudi Arabia"", ""Yemen""]",Western Asia,"The dish usually made with rice (usually basmati), meat, Vegetable, and a mixture of spices. "
Kalamay,kalamay,Filipino,dessert,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is a sticky sweet delicacy. It is made of coconut milk, brown sugar, and ground glutinous rice. It can also be flavored with margarine, peanut butter, or vanilla."
Katsudon,katsudon,Japanese,rice,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish is a bowl of rice topped with a deep-fried breaded pork cutlet, egg, Vegetable, and condiments. "
Kedgeree,kedgeree,Indian,rice,"[""Indian"",""British""]","[""India"",""United Kingdom""]",Southern Asia,"The dish consisting of cooked, flaked fish (traditionally smoked haddock), boiled rice, parsley, hard-boiled eggs, curry powder, lemon juice, salt, butter or cream, and occasionally sultanas. The dish can be eaten hot or cold."
Ketupat,ketupat,Indonesian,rice,"[""Indonesian""]","[""Indonesia"",""Brunei Darussalam"",""Malaysia"",""Singapore"",""Thailand""]",South Eastern Asia,The dish packed inside a diamond-shaped container of woven palm leaf pouch. It  is cut open until its skin (woven palm leaf) is totally removed. The inner rice cake is then cut into pieces and served as a staple food in place of plain steamed rice.
Khao kan chin,khao_kan_chin,Thai,rice,"[""Thai""]","[""Thailand""]",South Eastern Asia,"The dish is rice mixed with minced pork and pork blood, flavored with salt, sugar, a little garlic, shallot, vegetable oil, and then steamed inside a banana leaf. It is commonly served with fried chopped garlic, fried dried bird chilies, and cucumber."
Khao khluk kapi,khao_khluk_kapi,Thai,rice,"[""Thai""]","[""Thailand""]",South Eastern Asia,"The dish consists of the primary ingredients of fried rice mixed with shrimp paste. The dish is typically served with several side dishes or toppings, such as sliced cucumber, sliced shallot, onion or purple onion, deep-fried or fried shrimp, shredded or thinly sliced sour green mango, chili peppers, deep-fried chili peppers, sliced thin egg omelet or crêpe, sweetened roasted pork, pork belly (Chinese mu wan), Chinese sausage such as kun chiang, and mackerel, among others."
Khao lam,khao_lam,Thai,rice,"[""Thai"", ""Lao""]","[""Thailand"", ""Laos""]",South Eastern Asia,The dish consists of sticky rice roasted inside specially prepared bamboo sections of different diameters and lengths.
Khao tom,khao_tom,Thai,rice,"[""Thai"", ""Lao""]","[""Thailand"", ""Laos""]",South Eastern Asia,"The dish is made of sticky rice, ripe banana, coconut milk, all wrapped and steamed-cooked in banana leaves."
Kharcho,kharcho,Georgian,soup,"[""Georgian""]","[""Georgia""]",Western Asia,"The dish is a soup consists of beef, rice, cherry plum purée, and chopped walnuts (Juglans regia), but they are not compulsory. The soup is seasoned with Khmeli Suneli and coriander. The characteristic ingredients of the soup are meat (usually fatty cuts of beef), cherry plum purée made from tklapi or tkemali, rice, chopped walnuts, and a spice mix that varies between different regions."
Khichdi,khichdi,Indian Subcontinent,rice,"[""Indian Subcontinent""]","[""India"", ""Bangladesh"", ""Pakistan"", ""Nepal"", ""Trinidad and Tobago"", ""Guyana"", ""Suriname"", ""Fiji"", ""Mauritius""]",Caribbean,The dish is made of rice and lentils (dal) with numerous variations. Variations include bajra and mung dal khichri.
Kiampong,kiampong,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The meat (usually pork) and sausages are first cooked in a sauce similar to adobo with garlic, soy sauce, vinegar, sugar, and ground black pepper. Various Vegetable (typically mustard greens) and root crops like taro can also be added, depending on the recipe. This is then added to a pot along with glutinous rice and mixed thoroughly before cooking the rice. Toasted nuts and scallions are added before serving."
Kiping,kiping,Filipino,snack,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is leaf-shaped wafer made from glutinous rice. It can be eaten grilled or fried and can be dipped in sugar, vinegar, or other sauces."
Kongbap,kongbap,Korean,rice,"[""Korean""]","[""Korea""]",Eastern Asia,The dish consists of white or brown rice cooked together with one or more varieties of soybeans. It may be made from scratch by combining and cooking together dried rice and soybeans—usually black soybeans.
Kuning,kuning,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The is a rice dish cooked with turmeric, lemongrass, salt, bay leaves, and other spices to taste."
Koshary,koshary,Egyptian,rice,"[""Egyptian""]","[""Egypt""]",Northern Africa,"The dish is made by mixing pasta,  fried rice, vermicelli and brown lentils, and topped with chickpeas, a garlicky tomato sauce, garlic vinegar, and crispy fried onions. Sprinklings of garlic vinegar and hot sauce are optional."
Kutsinta,kutsinta,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is a type of steamed rice cake (puto). It is made from a mixture of tapioca or rice flour, brown sugar and lye, enhanced with yellow food coloring or annatto extract, and steamed in small ramekins."
Lemang,lemang,Indonesian,rice,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"This dish is made from glutinous rice, coconut milk, and salt, cooked in a hollowed bamboo tube coated with banana leaves in order to prevent the rice from sticking to the bamboo."
Lemper,lemper,Indonesian,snack,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"This dish is a savoury snack made of glutinous rice filled with seasoned shredded chicken or meat floss. The meat filling is rolled inside the rice, in a fashion similar to an egg roll; this is in turn rolled and wrapped inside a banana leaf, oil paper, plastic sheet, or tinfoil to make a packet ready for serving. If banana leaf is not available, corn husk can be used."
Lepet,lepet,Indonesian,snack,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,This dish is a type of sticky rice dumpling mixed with peanuts cooked with coconut milk and packed inside a young coconut leaf or palm leaf.
Lontong,lontong,Indonesian,rice,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"This dish is made of compressed rice cake in the form of a cylinder wrapped inside a banana leaf. Rice is rolled inside a banana leaf and boiled, then cut into small cakes as a staple food replacement for steamed rice."
Loco moco,loco_moco,Hawaiian,rice,"[""Hawaiian""]","[""United States""]",Northern America,"The dish consists of white rice, topped with a hamburger patty and brown gravy, and finally a sunny-side up fried egg. These ingredients must exist in the dish. No other egg variations are considered traditional and the stacking of the dish must be in the aforementioned order to be considered traditional."
