dish_id,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite
mapo_tofu,1.3605,1.1135,0.2375,933.4,932.4,0.5,1.5205,stir_fry,7,300,,0.085881224828997,0.2140382698823998,0.34,0.21330649823713227,0.18145017988509846,0.21348944114844914,0.2449798736778492,0.21330649823713227
peking_duck,2.945,2.5555,0.38,1554.1,1553.1,0.8,4.405,roast,6,405,,0.18615962411302178,0.36714097069962126,0.538,0.3637668649375477,0.3193650547314162,0.36461039137806606,0.4073251487031608,0.3637668649375477
xiao_long_bao,0.862,0.71,0.1425,650.8,649.8,0.3,1.6725,steam,5,158,,0.054332608834622514,0.144331771975284,0.20800000000000002,0.13555479360330216,0.11524924741113225,0.13774903819629764,0.15366609520247665,0.13555479360330216
general_tso,2.3185,1.834,0.475,1272.8,1271.8,1.0,3.2595,deep_fry,9,350,,0.14651026018027233,0.2977551325493322,0.67,0.3714217975765348,0.31519391322746926,0.3530051313197342,0.44606634818240115,0.3714217975765348
lo_mein,1.199,0.952,0.2375,762.1,761.1,0.5,1.77,stir_fry,7,320,,0.07566035926612544,0.17178518038668525,0.34,0.19581517988427022,0.16577647472973406,0.18980768000987397,0.23186138491320268,0.19581517988427022
dan_dan_noodles,1.0465,0.847,0.19,838.3,837.3,0.4,1.848,boil,7,265,,0.06600907754267085,0.19058077536376317,0.274,0.17686328430214465,0.1491497326122762,0.1802926570675493,0.2011474632266085,0.17686328430214465
sweet_and_sour,2.1365,1.652,0.475,1284.6,1283.6,1.0,3.472,deep_fry,9,380,,0.1349920092053954,0.3006657364959138,0.67,0.3685525819004364,0.31016243872667615,0.35158087054930576,0.44391443642532735,0.3685525819004364
sushi,1.1451,1.1356,0.0,510.9,509.9,0.0,0.7365,raw,5,247,,0.07224918493895033,0.1098238489136934,0.01,0.0640243446175479,0.06608055469789852,0.07547422069158428,0.05051825846316093,0.0640243446175479
ramen,1.321,1.1215,0.19,979.9,978.9,0.4,2.2865,boil,8,305,,0.08338138464488909,0.22550802272274262,0.274,0.1942964691225439,0.1665676980031302,0.2020993575225936,0.21422235184190794,0.1942964691225439
tempura,2.3195,1.835,0.475,793.8,792.8,1.0,1.231,deep_fry,4,240,,0.14657354727354088,0.17960434522623078,0.67,0.3320592974999239,0.2856878599433281,0.2939455594315006,0.4165444731249429,0.3320592974999239
teriyaki,2.45,2.1555,0.285,1328.7,1327.7,0.6,2.937,grill,6,395,,0.15483251294508726,0.3115435020928842,0.406,0.2907920050126571,0.2568021319957647,0.2959798792827139,0.3195940037594929,0.2907920050126571
katsu,2.1645,1.68,0.475,1433.4,1432.4,1.0,3.933,deep_fry,6,350,,0.1367640478169149,0.33736894558501096,0.67,0.3813776644673086,0.3202242603047102,0.3703754847467342,0.4535332483504815,0.3813776644673086
miso_soup,0.4095,0.21,0.19,177.0,176.0,0.4,0.154,boil,3,90,,0.025695199130601545,0.027463623679489728,0.274,0.1090529409366971,0.0882135054851732,0.08865561162239526,0.15028970570252284,0.1090529409366971
pizza,2.9604,2.5709,0.38,1015.5,1014.5,0.8,9.7745,bake,5,328,,0.18713424534935755,0.23428916683276854,0.538,0.3198078040607087,0.2866394143828709,0.2984281447537237,0.37435585304553154,0.3198078040607087
pasta_carbonara,1.8885,1.689,0.19,969.1,968.1,0.4,4.734,boil,5,272,,0.11929681007479384,0.22284408012756624,0.274,0.20538029673412,0.18385942506928848,0.2097462425824816,0.22253522255059002,0.20538029673412
lasagna,9.715,9.3255,0.38,2622.1,2621.1,0.8,46.906,bake,7,425,,0.6146132455411366,0.6305752940003985,0.538,0.5943961798471784,0.599450446270668,0.6034409583854834,0.5802971348853838,0.5943961798471784
risotto,1.7245,1.525,0.19,701.2,700.2,0.4,4.21,simmer,6,240,,0.10891772677875088,0.15676350408610723,0.274,0.17989374362161936,0.16214973941090224,0.17411118373774134,0.20342030771621455,0.17989374362161936
tiramisu,1.522,1.5125,0.0,947.6,946.6,0.0,3.946,cold,5,205,,0.09610209039186857,0.21754086107235396,0.01,0.1078809838214075,0.10493626046402277,0.1352959531341441,0.08341073786605563,0.1078809838214075
bruschetta,0.7575,0.368,0.38,367.7,366.7,0.8,0.7021,bake,5,183,,0.04771910758805856,0.0745019433924656,0.538,0.2200736836601747,0.17698503964214568,0.18368074859324746,0.29955526274513106,0.2200736836601747
taco,6.887,6.5925,0.285,1744.0,1743.0,0.6,34.59,grill,6,245,,0.4356373457776641,0.41398196133147297,0.406,0.418539769036379,0.4228141632217003,0.4174003171101526,0.4154048267772843,0.418539769036379
burrito,2.2195,1.925,0.285,1211.6,1210.6,0.6,4.706,grill,7,400,,0.14024483794668544,0.28265945784333263,0.406,0.276301431930006,0.24228728343417588,0.2778909384083377,0.3087260739475045,0.276301431930006
guacamole,0.4681,0.4586,0.0,328.1,327.1,0.0,0.2365,raw,7,220,,0.02940382279613885,0.0647341538768188,0.01,0.03471265889098588,0.033385449867274125,0.042218032637444114,0.028534494168239413,0.03471265889098588
enchilada,2.3305,1.941,0.38,879.3,878.3,0.8,5.294,bake,6,330,,0.14726970529949499,0.20069389077137728,0.538,0.2953211986902908,0.25830832534259185,0.2716643717105624,0.3559908990177181,0.2953211986902908
nachos,1.9215,1.532,0.38,668.3,667.3,0.8,5.843,bake,6,250,,0.12138528415265615,0.1486483456248754,0.538,0.26934454325917717,0.23235472848254693,0.23917049385060174,0.33650840744438293,0.26934454325917717
ceviche,0.9145,0.905,0.0,270.8,269.8,0.0,0.6105,raw,6,250,,0.057655181231221625,0.050600458441299574,0.01,0.03941854655750707,0.043977705225935707,0.0422140245284552,0.032063909918130296,0.03941854655750707
pad_thai,2.316,2.069,0.2375,1001.9,1000.9,0.5,1.2365,stir_fry,9,390,,0.14635204244710093,0.23093457245365753,0.34,0.23909553830025282,0.21590966433696485,0.237055296838604,0.2643216537251896,0.23909553830025282
green_curry,2.321,2.1215,0.19,1536.4,1535.4,0.4,2.619,simmer,8,575,,0.14666847791344373,0.36277506477974886,0.274,0.2611478475643975,0.23252800515165908,0.28655465186823537,0.2643608856732982,0.2611478475643975
tom_yum,1.563,1.3635,0.19,430.0,429.0,0.4,0.348,boil,8,225,,0.09869686121587931,0.08986894558501096,0.274,0.1541886022669634,0.1403156670041924,0.1381086880964753,0.18414145170022259,0.1541886022669634
papaya_salad,0.201,0.1915,0.0,106.2,105.2,0.0,0.1185,raw,7,120,,0.012499840184107908,0.009999999999999998,0.01,0.010833280061369303,0.011249920092053953,0.010624960046026977,0.010624960046026977,0.010833280061369303
massaman_curry,10.3715,10.172,0.19,3286.4,3285.4,0.4,49.873,simmer,9,630,,0.6561612222719426,0.7944324297388876,0.274,0.5748645506702768,0.5951887185706932,0.6297565204374295,0.49964841300270757,0.5748645506702768
tikka_masala,2.3429,2.1434,0.19,1215.7,1214.7,0.4,4.2305,simmer,11,455,,0.1480544652560251,0.2836707693840941,0.274,0.23524174488003968,0.21344492497403605,0.2473490010060533,0.2449313086600298,0.23524174488003968
butter_chicken,2.5309,2.3314,0.19,1290.8,1289.8,0.4,5.0115,simmer,10,420,,0.15995243879051332,0.30219503687462623,0.274,0.24538249188837985,0.22402497861391324,0.25958562813494146,0.2525368689162849,0.24538249188837985
biryani,2.5269,2.1374,0.38,1305.9,1304.9,0.8,2.894,bake,9,460,,0.1596992904174391,0.30591962328084515,0.538,0.3345396378994281,0.2908295510289308,0.32738463424478237,0.3854047284245711,0.3345396378994281
naan,0.7861,0.3966,0.38,284.2,283.2,0.8,1.0705,bake,5,147,,0.049529118455539214,0.05390572055012955,0.538,0.2138116130018896,0.172740989365302,0.17383513988894958,0.2948587097514172,0.2138116130018896
samosa,0.7475,0.263,0.475,278.0,277.0,1.0,0.6215,deep_fry,6,206,,0.04708623665537301,0.05237642017141717,0.67,0.2564875522755967,0.2041372233705408,0.20545976924955184,0.3598656642066976,0.2564875522755967
dal,0.4209,0.2214,0.19,688.1,687.1,0.4,0.945,simmer,8,185,,0.026416671993863067,0.1535322403826988,0.274,0.15131630412552063,0.12009139609260625,0.15187028818981518,0.18198722809414047,0.15131630412552063
bibimbap,6.316,6.069,0.2375,2058.8,2057.8,0.5,27.164,stir_fry,10,450,,0.39950041552131943,0.49163095475383695,0.34,0.4103771234250521,0.40765794644911896,0.43069058125724835,0.39278284256878915,0.4103771234250521
bulgogi,12.4425,12.148,0.285,3274.3,3273.3,0.6,65.473,grill,7,280,,0.7872287924311194,0.7914478273868845,0.406,0.6615588732726678,0.6929763530622809,0.6940311118012221,0.597669154954501,0.6615588732726678
pho,6.945,6.7455,0.19,1978.0,1977.0,0.4,33.071,boil,8,355,,0.4393079971872403,0.47170071756029497,0.274,0.39500290491584505,0.40607917798369386,0.41417735807695755,0.3647521786868838,0.39500290491584505
banh_mi,1.1665,0.777,0.38,706.3,705.3,0.8,1.7845,bake,7,245,,0.07360352873489741,0.15802147697827382,0.538,0.2565416685710571,0.21080713361201717,0.23191162067286125,0.3269062514282928,0.2565416685710571
hummus,0.2991,0.2896,0.0,1112.0,1111.0,0.0,1.46,raw,6,212,,0.018708304033753113,0.2580919872433725,0.01,0.0956000970923752,0.07637714882771969,0.13622306963012454,0.07420007281928141,0.0956000970923752
falafel,0.8195,0.335,0.475,871.3,870.3,1.0,1.368,deep_fry,7,258,,0.05164290737070894,0.1987205999601355,0.67,0.3067878357769481,0.24300160367538837,0.279771026822745,0.3975908768327111,0.3067878357769481
shawarma,2.0475,1.658,0.38,1046.9,1045.9,0.8,3.0215,roast,8,378,,0.12935945790449402,0.24203433326689253,0.538,0.3031312637237955,0.25968831226897016,0.2878570311095698,0.36184844779284664,0.3031312637237955
kebab,5.291,4.9965,0.285,2279.8,2278.8,0.6,74.2845,grill,6,303,,0.33463114492105095,0.546143113414391,0.406,0.42892475277848063,0.4053513508141232,0.4582293429374583,0.4231935645838605,0.42892475277848063
croissant,1.4301,1.0406,0.38,594.1,593.1,0.8,3.102,bake,6,202,,0.09028600652048839,0.1303460733506079,0.538,0.2528773599570321,0.21222952159789618,0.22224453830542606,0.3241580199677741,0.2528773599570321
quiche,3.3045,2.915,0.38,1352.2,1351.2,0.8,9.132,bake,6,360,,0.2089113341430672,0.3173400438509069,0.538,0.3547504593313247,0.31829067803426037,0.34539785546122026,0.40056284449849355,0.3547504593313247
crepe,1.1025,0.8555,0.2375,477.0,476.0,0.5,2.042,pan_fry,5,235,,0.0695531547657099,0.1014620291010564,0.34,0.17033839462225545,0.14514208465811906,0.15311930324195566,0.21275379596669158,0.17033839462225545
french_onion_soup,4.4295,4.23,0.19,1218.5,1217.5,0.4,20.822,simmer,5,350,,0.28010931407019113,0.2843614211680287,0.274,0.2794902450794066,0.27964501232710276,0.28070803910156217,0.278117683809555,0.2794902450794066
creme_brulee,2.0055,1.616,0.38,778.2,777.2,0.8,4.216,bake,4,252,,0.12670139998721475,0.17575642814430933,0.538,0.2801526093771747,0.24178980702968472,0.25405356406895835,0.34461445703288107,0.2801526093771747
caesar_salad,0.752,0.7425,0.0,471.8,470.8,0.0,2.513,raw,6,240,,0.047371028575081506,0.10017939007374924,0.01,0.05251680621627691,0.051230361805978064,0.064432452180645,0.04188760466220768,0.05251680621627691
cheesecake,5.2365,4.847,0.38,1604.2,1603.2,0.8,17.482,bake,6,430,,0.33118199833791473,0.3794987044050229,0.538,0.4162269009143125,0.3949656752702131,0.4070448517869902,0.4466701756857344,0.4162269009143125
fish_and_chips,2.0975,1.613,0.475,769.4,768.4,1.0,1.173,deep_fry,5,530,,0.13252381256792176,0.17358580825194336,0.67,0.32536987360662173,0.27715835834694674,0.28742385726795217,0.41152740520496633,0.32536987360662173
chicken_sandwich,1.5495,1.255,0.285,827.0,826.0,0.6,2.173,grill,5,295,,0.09784248545675384,0.18779350209288417,0.406,0.23054532918321266,0.19736961825159796,0.21985737241063055,0.2744089968874095,0.23054532918321266
chicken_salad,0.9585,0.949,0.0,609.1,608.1,0.0,1.598,cold,6,290,,0.060439813335038034,0.13404599362168626,0.01,0.06816193565224142,0.06623140507294059,0.08463295014460265,0.05362145173918107,0.06816193565224142
club_sandwich,1.1245,1.115,0.0,644.0,643.0,0.0,1.645,cold,6,245,,0.07094547081761811,0.14265447478572849,0.01,0.07453331520111553,0.07363635410524118,0.09156360509726877,0.05839998640083665,0.07453331520111553
grilled_cheese,1.7955,1.5485,0.2375,516.5,515.5,0.5,6.108,pan_fry,3,155,,0.11341111040081826,0.11120515248156265,0.34,0.18820542096079365,0.1695068433207998,0.1689553538409859,0.22615406572059524,0.18820542096079365
coleslaw,0.2035,0.194,0.0,134.3,133.3,0.0,0.2125,raw,5,235,,0.012658057917279293,0.016931183974486744,0.01,0.013196413963922012,0.013061824952261334,0.014130106466563196,0.01239731047294151,0.013196413963922012
cornbread,1.1525,0.763,0.38,468.8,467.8,0.8,1.9305,bake,6,245,,0.07271750942913764,0.09943940601953358,0.538,0.23671897181622376,0.19571860621945222,0.2023990803670512,0.31203922886216784,0.23671897181622376
lobster_roll,2.36,2.1605,0.19,779.3,778.3,0.4,1.495,boil,6,265,,0.14913667455091734,0.17602775563085504,0.274,0.19972147672725746,0.18707527618317243,0.19379804645315685,0.21829110754544312,0.19972147672725746
clam_chowder,2.291,2.0915,0.19,749.0,748.0,0.4,3.014,simmer,7,335,,0.1447698651153871,0.16855391668327682,0.274,0.19577459393288799,0.18302341172851275,0.1889694246204852,0.215330945449666,0.19577459393288799
brisket,15.7454,15.0234,0.7125,3882.1,3881.1,1.5,81.571,smoke,5,290,,0.9962597327878284,0.9413685967709785,1.0,0.9792094431862688,0.9834720155866589,0.9697492315824463,0.9844070823897018,0.9792094431862688
waffle,1.208,0.961,0.2375,550.2,549.2,0.5,2.3245,pan_fry,5,265,,0.07622994310554242,0.11951764002391865,0.34,0.17858252770982036,0.1529943815587509,0.16381630578834494,0.21893689578236528,0.17858252770982036
brownie,2.5955,2.206,0.38,1653.7,1652.7,0.8,6.713,bake,5,260,,0.16404078501566197,0.3917084412995814,0.538,0.36458307543841445,0.3144475028327263,0.3713644169037062,0.4079373065788109,0.36458307543841445
ice_cream,1.5265,1.517,0.0,653.7,652.7,0.0,4.006,cold,4,280,,0.09638688231157706,0.14504708989435916,0.01,0.08381132406864539,0.08695521362937833,0.09912026552507384,0.06535849305148406,0.08381132406864539
chow_mein,1.207,0.96,0.2375,741.2,740.2,0.5,1.758,stir_fry,7,350,,0.07616665601227386,0.1666299581423161,0.34,0.19426553805153,0.16474081754171596,0.1873566430742265,0.2306991535386475,0.19426553805153
chow_fun,5.834,5.587,0.2375,1721.6,1720.6,0.5,26.723,stir_fry,6,320,,0.36899603656587604,0.40845674705999596,0.34,0.372484261208624,0.371612205047937,0.381477382671467,0.36436319590646804,0.372484261208624
orange_chicken,2.3175,1.833,0.475,1259.3,1258.3,1.0,3.257,deep_fry,8,345,,0.14644697308700377,0.29442520430536173,0.67,0.37029072579745514,0.3143297876198423,0.3513243454244318,0.4452180443480914,0.37029072579745514
hot_and_sour_soup,0.713,0.5135,0.19,403.6,402.6,0.4,0.482,boil,8,215,,0.04490283193760787,0.08335708590791308,0.274,0.1340866392818403,0.11179068744578222,0.12140425093835851,0.16906497946138024,0.1340866392818403
congee,0.9255,0.726,0.19,456.8,455.8,0.4,0.8825,simmer,5,148,,0.05835133925717573,0.09647946980267091,0.274,0.14294360301994888,0.1217955370792556,0.1313275697156294,0.17570770226496168,0.14294360301994888
scallion_pancake,0.5236,0.2766,0.2375,324.4,323.4,0.5,0.666,pan_fry,5,167,,0.03291625647254362,0.06382150687661947,0.34,0.14557925444972103,0.11741350495542668,0.12513981755644565,0.19418444083729078,0.14557925444972103
char_siu,1.941,1.5515,0.38,1316.9,1315.9,0.8,3.569,roast,6,260,,0.12261938247139297,0.30863289814630257,0.538,0.32308409353923184,0.27296791577227214,0.31947129469099955,0.3768130701544239,0.32308409353923184
wonton_soup,1.2425,1.043,0.19,723.1,722.1,0.4,1.6915,boil,7,178,,0.07841334782330756,0.16216538768188157,0.274,0.17152624516839637,0.14824802083212418,0.1691860307967677,0.1971446838762973,0.17152624516839637
dim_sum,1.358,1.206,0.1425,682.5,681.5,0.3,1.3165,steam,6,180,,0.08572300709582562,0.15215093681482955,0.20800000000000002,0.14862464797021838,0.13289923775162021,0.14950622018137116,0.1634684859776638,0.14862464797021838
donburi,2.2265,2.027,0.19,1240.0,1239.0,0.4,2.3915,simmer,6,420,,0.14068784759956532,0.28966464022324095,0.274,0.2347841626076021,0.21126008385559292,0.2485042820115118,0.24458812195570157,0.2347841626076021
sashimi,1.8165,1.807,0.0,326.0,325.0,0.0,0.785,raw,2,160,,0.11474013935945791,0.06421616503886785,0.01,0.06298543479944191,0.07592411093944593,0.0632931173592984,0.04973907609958144,0.06298543479944191
edamame,0.5004,0.3009,0.19,322.8,321.8,0.4,0.27,boil,2,153,,0.03144799590871315,0.06342684871437113,0.274,0.12295828154102809,0.10008071013294936,0.10807542333436386,0.16071871115577108,0.12295828154102809
onigiri,1.0421,1.0326,0.0,436.0,435.0,0.0,0.573,cold,3,182,,0.0657306143322892,0.09134891369344228,0.01,0.05569317600857716,0.058202535589505174,0.06460711042979345,0.04426988200643287,0.05569317600857716
yakitori,1.4135,1.119,0.285,725.1,724.1,0.6,1.936,grill,4,180,,0.08923544077223039,0.162658710384692,0.406,0.2192980503856408,0.1867823979822882,0.2051382153854036,0.2659735377892306,0.2192980503856408
udon,0.7345,0.535,0.19,524.2,523.2,0.4,0.959,boil,5,290,,0.0462635044428818,0.11310444488738289,0.274,0.14445598311008823,0.11990786344328663,0.1366180985544119,0.17684198733256618,0.14445598311008823
takoyaki,0.818,0.571,0.2375,318.3,317.3,0.5,0.4315,pan_fry,6,185,,0.051547976730806105,0.06231687263304763,0.34,0.1512882831212846,0.12635320652366497,0.12904543049922534,0.19846621234096345,0.1512882831212846
okonomiyaki,1.149,0.902,0.2375,755.9,754.9,0.5,1.762,pan_fry,6,315,,0.0724960046026977,0.17025588000797284,0.34,0.19425062820355685,0.16381197230334205,0.18825194115466087,0.23068797115266765,0.19425062820355685
gelato,1.2235,1.214,0.0,500.4,499.4,0.0,3.066,cold,4,280,,0.07721089305120502,0.1072339047239386,0.01,0.06481493259171453,0.06791392270658717,0.07541967562477056,0.0511111994437859,0.06481493259171453
panna_cotta,1.4655,1.456,0.0,585.5,584.5,0.0,4.258,cold,3,230,,0.09252636962219524,0.128224785728523,0.01,0.07691705178357273,0.08081938124322838,0.08974398526981031,0.06018778883767956,0.07691705178357273
gnocchi,1.189,0.9895,0.19,467.3,466.3,0.4,3.085,boil,5,325,,0.07502748833343989,0.09906941399242575,0.274,0.1493656341086219,0.13078109766482637,0.13679157907957284,0.1805242255814664,0.1493656341086219
ravioli,2.0345,1.835,0.19,788.0,787.0,0.4,6.206,boil,6,300,,0.1285367256920028,0.1781737093880805,0.274,0.19357014502669445,0.17731179019302154,0.18972103611704094,0.21367760877002084,0.19357014502669445
caprese,2.474,2.4645,0.0,751.6,750.6,0.0,9.2715,raw,4,240,,0.15635140318353258,0.16919523619693042,0.01,0.11184887979348765,0.1229745106409989,0.12618546889434834,0.08638665984511576,0.11184887979348765
minestrone,0.5215,0.322,0.19,276.6,275.6,0.4,0.534,simmer,8,260,,0.032783353576679664,0.05203109427944987,0.274,0.11960481595204318,0.0978994503582023,0.10271138553389486,0.1582036119640324,0.11960481595204318
pasta_bolognese,6.6765,6.477,0.19,1951.1,1950.1,0.4,33.44,simmer,7,375,,0.42231541264463335,0.46506552720749444,0.274,0.38712697995070927,0.3959240881241903,0.40661161676490554,0.35884523496303194,0.38712697995070927
penne_arrabbiata,0.7355,0.536,0.19,486.7,485.7,0.4,0.9621,boil,6,253,,0.04632679153615035,0.10385464420968704,0.274,0.14139381191527914,0.11762705682049694,0.13200901998888112,0.17454535893645937,0.14139381191527914
pizza_margherita,2.4919,2.1024,0.38,825.4,824.4,0.8,7.8516,bake,6,296,,0.1574842421530397,0.1873988439306358,0.538,0.29429436202789183,0.2600918320591788,0.26757048250357784,0.3552207715209189,0.29429436202789183
quesadilla,2.5205,2.2735,0.2375,790.1,789.1,0.5,8.012,pan_fry,5,255,,0.1592942530205204,0.17869169822603145,0.34,0.22599531708218396,0.20932005106676804,0.21416941236814585,0.254496487811638,0.22599531708218396
fajita,1.6045,1.31,0.285,830.3,829.3,0.6,2.221,grill,5,325,,0.10132327558652433,0.18860748455252138,0.406,0.23197692004634857,0.19931350893139252,0.22113456117289176,0.27548269003476145,0.23197692004634857
chile_relleno,2.3685,1.884,0.475,612.2,611.2,1.0,5.922,deep_fry,6,310,,0.14967461484370007,0.13481064381104244,0.67,0.31816175288491416,0.27603996837461064,0.2723239756164463,0.4061213146636856,0.31816175288491416
elote,0.903,0.6085,0.285,384.9,383.9,0.6,2.006,grill,5,250,,0.05692737965863326,0.07874451863663542,0.406,0.18055729943175622,0.1496498194884755,0.15510410423297605,0.2369179745738172,0.18055729943175622
tamale,0.8955,0.7435,0.1425,663.0,662.0,0.3,1.805,steam,5,200,,0.0564527264591191,0.1473410404624277,0.20800000000000002,0.1372645889738489,0.11706162334516648,0.13978370184599365,0.15494844173038672,0.1372645889738489
pozole,1.1925,0.993,0.19,856.0,855.0,0.4,2.35,simmer,6,270,,0.07524899315987982,0.1949466812836356,0.274,0.18139855814783845,0.1548611669008488,0.18478558893178776,0.20454891861087887,0.18139855814783845
red_curry,2.335,2.1355,0.19,1529.6,1528.6,0.4,2.619,simmer,8,555,,0.14755449721920347,0.3610977675901933,0.274,0.2608840882697989,0.23255169050715008,0.2859375080998975,0.2641630662023492,0.2608840882697989
pad_see_ew,1.991,1.744,0.2375,1086.4,1085.4,0.5,2.18,stir_fry,6,390,,0.1257837371348207,0.25177745664739887,0.34,0.23918706459407318,0.21083623272926005,0.2423346626074046,0.2643902984455549,0.23918706459407318
mango_sticky_rice,1.1553,1.0033,0.1425,843.6,842.6,0.3,0.802,steam,5,371,,0.07289471329028958,0.19188808052621084,0.20800000000000002,0.15759426460550013,0.13641937677669752,0.1661677185856778,0.17019569845412513,0.15759426460550013
larb,1.4525,1.2055,0.2375,989.5,988.5,0.5,2.679,stir_fry,7,265,,0.09170363740970401,0.22787597169623278,0.34,0.21985986970197893,0.1878208116289102,0.2218638952005424,0.2498949022764842,0.21985986970197893
satay,1.5179,1.2234,0.285,890.6,889.6,0.6,2.043,grill,7,234,,0.0958426133094675,0.2034811640422563,0.406,0.23510792578390793,0.20029159766529783,0.22720123534849504,0.277830944337931,0.23510792578390793
tom_kha,1.2495,1.05,0.19,895.9,894.9,0.4,1.545,simmer,7,330,,0.07885635747618744,0.20478846920470398,0.274,0.18588160889363048,0.15912529603926973,0.19060832397139885,0.20791120667022286,0.18588160889363048
thai_iced_tea,0.3815,0.372,0.0,224.6,223.6,0.0,0.81,cold,3,120,,0.023923160519082016,0.03920470400637831,0.01,0.02437595484182011,0.024262756261135585,0.028083142132959656,0.02078196613136508,0.02437595484182011
vindaloo,1.7869,1.5874,0.19,1368.3,1367.3,0.4,3.7205,simmer,9,315,,0.11286684139870869,0.32131129160853095,0.274,0.23605937766907986,0.2052612436014871,0.25737235615394266,0.24554453325180992,0.23605937766907986
korma,2.2049,2.0054,0.19,1407.1,1406.1,0.4,4.151,simmer,9,375,,0.1393208463849645,0.3308817520430536,0.274,0.24806753280933935,0.22088086120324565,0.2687710876177679,0.2545506496070045,0.24806753280933935
chana_masala,0.5939,0.3944,0.19,986.9,985.9,0.4,1.3585,simmer,9,345,,0.03736533912932302,0.22723465218257918,0.274,0.17953333043730074,0.1439913326103063,0.19145866087362035,0.20314999782797555,0.17953333043730074
palak_paneer,2.7469,2.5474,0.19,774.7,773.7,0.4,9.786,simmer,9,390,,0.17362245093652115,0.17489311341439104,0.274,0.20750518811697072,0.19903450382185833,0.1993521694413258,0.22412889108772804,0.20750518811697072
paneer_tikka,3.7719,3.4774,0.285,919.3,918.3,0.6,13.7355,grill,8,290,,0.23849172153678963,0.21056034482758615,0.406,0.2850173554547919,0.2733859469752914,0.2664031027979905,0.31526301659109396,0.2850173554547919
tandoori_chicken,2.2714,1.9769,0.285,1231.8,1230.8,0.6,3.6885,grill,8,355,,0.1435294380873234,0.2876420171417181,0.406,0.2790571517430138,0.24517522332909122,0.2812033680926899,0.3107928638072604,0.2790571517430138
